loan_id,client_ref,branch_code,agent_id,disbursement_date,principal_zar,initiation_fee_zar,capitalised_amount_zar,interest_rate_annual,term_months,monthly_service_fee_zar,credit_life_monthly_zar,instalment_zar,debit_order_day,purpose,is_topup,settles_loan_id,status
LN-501597,CL-115515,SF-BFN,AG-653,2024-10-10,11500,2257.5,13757.5,0.25,24,69,61.91,865.17,27,School fees,N,,Settled
LN-501598,CL-105358,SF-PTA,AG-618,2024-10-21,50000,5175,55175,0.27,12,69,248.29,5615.05,2,Medical,N,,Settled
LN-501599,CL-100169,SF-JHB,AG-604,14/10/2024,50000,5175,55175,0.26,18,69,248.29,4051.73,26,Other,N,,SETTLED
LN-501600,CL-108579,SF-DBN,AG-627,2024-10-08,50000,5175,55175,0.28,12,69,248.29,5642.01,3,Vehicle repair,N,,Settled
LN-501601,CL-106019,SF-PTA,AG-614,2024-10-22,8500,1957.5,10457.5,0.28,12,69,47.06,"1,125.27",26,Business,N,,Settled
LN-501602,CL-101603,SF-JHB,AG-607,20/10/2024,26000,3707.5,29707.5,0.27,24,69,133.68,1818.18,26,School fees,N,,Settled
LN-501603,CL-106105,SF-DBN,AG-626,2024-10-16,50000,5175,"55,175.00",0.28,12,69,248.29,5642.01,13,Business,N,,Settled
LN-501604,CL-117177,SF-PLK,AG-658,2024-10-12,50000,5175,55175,0.27,12,69,248.29,5615.05,27,School fees,N,,settled
LN-501605,CL-113591,SF-GQE,AG-648,2024-10-14,12500,2357.5,14857.5,0.26,36,69,66.86,734.48,2,Business,N,,Settled
LN-501606,CL-105825,SF-PTA,AG-618,2024-10-03,50000,5175,55175,0.27,12,69,248.29,5615.05,25,School fees,N,,Settled
LN-501607,CL-108131,SF-DBN,AG-623,17/10/2024,23000,3407.5,"26,407.50",0.25,36,69,118.83,1237.79,9,Vehicle repair,N,,Settled
LN-501608,CL-108553,SF-DBN,AG-621,2024-10-18,41500,5175,46675,0.26,12,69,210.04,4737.91,27,Home improvement,N,,Settled
LN-501609,CL-116590,SF-PLK,AG-655,2024-10-18,20500,3157.5,23657.5,0.27,18,69,106.46,"1,788.36",26,School fees,N,,Settled
LN-501610,CL-106863,SF-DBN,AG-621,2024-10-15,24000,3507.5,27507.5,0.27,24,69,123.78,1688.65,12,Vehicle repair,N,,Settled
LN-501611,CL-101240,SF-JHB,AG-606,2024-10-14,39500,5057.5,44557.5,0.27,12,69,200.51,4547.8,27,Funeral,N,,Settled
LN-501612,CL-106817,SF-DBN,AG-624,2024-10-08,28000,3907.5,31907.5,0.26,18,69,143.58,2372.2,27,School fees,N,,Settled
LN-501613,CL-118290,SF-MAH,AG-660,2024-10-25,44000,5175,49175,0.28,6,69,221.29,9168.31,5,Vehicle repair,N,,SETTLED
LN-501614,CL-102347,SF-JHB,AG-605,2024-10-12,33500,4457.5,37957.5,0.26,24,69,170.81,2284.75,4,Other,N,,Settled
LN-501615,CL-101049,SF-JHB,AG-602,2024-10-18,35500,4657.5,40157.5,0.27,12,69,180.71,4105.53,2,School fees,N,,Written off
LN-501616,CL-109701,SF-PMB,AG-631,2024-10-15,50000,5175,55175,0.27,6,69,248.29,10250.72,8,Other,N,,SETTLED
LN-501617,CL-116428,SF-PLK,AG-655,2024-10-19,11000,2207.5,13207.5,0.28,6,69,59.43,"2,512.91",25,Other,N,,Settled
LN-501618,CL-113518,SF-GQE,AG-643,19/10/2024,27000,3807.5,30807.5,0.27,24,69,138.63,1882.95,25,School fees,N,,Settled
LN-501619,CL-113648,SF-GQE,AG-646,2024-10-21,16500,2757.5,19257.5,0.28,12,69,86.66,2014.12,26,Vehicle repair,N,,Settled
LN-501620,CL-114858,SF-BFN,AG-649,01/10/2024,48000,5175,53175,0.27,18,69,239.29,3933.61,10,Medical,N,,written off
LN-501621,CL-104045,SF-PTA,AG-617,03/10/2024,15500,2657.5,18157.5,0.25,12,69,81.71,1876.47,8,Medical,N,,Settled
LN-501622,CL-118652,SF-MAH,AG-659,2024-10-10,50000,5175,55175,0.28,12,69,248.29,5642.01,3,Debt consolidation,N,,Settled
LN-501623,CL-106486,SF-DBN,AG-625,2024-10-26,19500,3057.5,22557.5,0.26,24,69,101.51,1385.78,4,Business,N,,Written off
LN-501624,CL-111019,SF-CPT,AG-642,2024-10-13,19000,3007.5,22007.5,0.27,12,69,99.03,2281.14,25,Debt consolidation,N,,Settled
LN-501625,CL-110992,SF-CPT,AG-638,2024-10-10,31500,4257.5,35757.5,0.28,12,69,160.91,3680.72,27,Medical,N,,SETTLED
LN-501626,CL-100164,SF-JHB,AG-603,06/10/2024,17000,2807.5,19807.5,,18,69,89.13,1518.37,8,Business,N,,Written off
LN-501627,CL-110545,SF-CPT,AG-641,28/10/2024,20000,3107.5,23107.5,0.24,24,69,103.98,1394.7,26,Home improvement,N,,Settled
LN-501628,CL-104484,SF-PTA,AG-618,26/10/2024,39500,5057.5,44557.5,0.28,18,69,200.51,3329.4,26,Debt consolidation,N,,Written off
LN-501629,CL-116907,SF-PLK,AG-656,2024-10-04,38500,4957.5,43457.5,0.28,18,69,195.56,3248.91,27,Funeral,N,,Settled
LN-501630,CL-115282,SF-BFN,AG-649,15/10/2024,37000,4807.5,41807.5,0.26,12,69,188.13,4251.01,2,Medical,N,,Settled
LN-501631,CL-102069,SF-JHB,AG-604,2024-10-05,50000,5175,55175,0.26,36,69,248.29,2540.32,3,Debt consolidation,N,,Active
LN-501632,CL-108815,SF-DBN,AG-623,2024-10-08,20500,3157.5,23657.5,0.26,24,69,106.46,1450,7,School fees,N,,Settled
LN-501633,CL-103490,SF-PTA,AG-616,27/10/2024,27500,3857.5,31357.5,0.28,18,69,141.11,2363.52,25,School fees,N,,Settled
LN-501634,CL-105152,SF-PTA,AG-617,26/10/2024,45500,5175,50675,0.26,12,69,228.04,5138.03,25,Funeral,N,,Settled
LN-501635,CL-112567,SF-CPT,AG-636,01/10/2024,17000,2807.5,19807.5,0.28,24,69,89.13,1245.34,27,Medical,N,,Settled
LN-501636,CL-101381,SF-JHB,AG-611,07/10/2024,9500,2057.5,11557.5,,18,69,52.01,903.26,25,Other,N,,Settled
LN-501637,CL-110832,SF-CPT,AG-640,26/10/2024,15500,2657.5,18157.5,0.27,12,69,81.71,1894.14,25,Home improvement,N,,Settled
LN-501638,CL-109251,SF-PMB,AG-630,21/10/2024,34500,4557.5,39057.5,0.25,18,69,175.76,2869.1,3,Funeral,N,,Written off
LN-501639,CL-102174,SF-JHB,AG-605,2024-10-14,50000,5175,55175,0.27,24,69,248.29,3317.72,27,School fees,N,,SETTLED
LN-501640,CL-114179,SF-GQE,AG-646,2024-10-27,21000,3207.5,24207.5,0.27,24,69,108.93,1494.34,14,Vehicle repair,N,,Settled
LN-501641,CL-116545,SF-PLK,AG-657,2024-10-16,9500,2057.5,11557.5,0.26,24,69,52.01,743.66,26,Business,N,,Settled
LN-501642,CL-114032,SF-GQE,AG-647,06/10/2024,14000,2507.5,16507.5,0.26,12,69,74.28,1720.25,2,School fees,N,,Settled
LN-501643,CL-107689,SF-DBN,AG-627,2024-10-04,50000,5175,55175,0.27,18,69,248.29,4078.96,27,Vehicle repair,N,,Settled
LN-501644,CL-117496,SF-PLK,AG-654,2024-10-11,23000,3407.5,26407.5,0.26,18,69,118.83,1975.19,26,Medical,N,,Settled
LN-501645,CL-114383,SF-GQE,AG-645,27/10/2024,50000,5175,"55,175.00",0.26,18,69,248.29,4051.73,25,Business,N,,Settled
LN-501646,CL-100210,SF-JHB,AG-608,2024-10-18,14000,2507.5,16507.5,0.28,36,69,74.28,826.09,6,Funeral,N,,Active
LN-501647,CL-103249,SF-JHB,AG-606,27/10/2024,24000,3507.5,27507.5,0.28,18,69,123.78,2081.8,27,Other,N,,Settled
LN-501648,CL-115263,SF-BFN,AG-651,2024-10-10,50000,5175,55175,0.26,12,69,248.29,5588.16,1,Business,N,,SETTLED
LN-501649,CL-102095,SF-JHB,AG-608,2024-10-22,16000,2707.5,18707.5,0.28,24,69,84.18,1180.01,27,Medical,N,,Settled
LN-501650,CL-112373,SF-CPT,AG-636,13/10/2024,27500,3857.5,31357.5,0.27,12,69,141.11,3220.97,26,Vehicle repair,N,,Settled
LN-501651,CL-115552,SF-BFN,AG-650,2024-10-22,21500,3257.5,24757.5,0.24,36,69,111.41,1151.72,26,Debt consolidation,N,,Settled
LN-501652,CL-103443,SF-PTA,AG-619,2024-10-01,15500,2657.5,18157.5,0.27,18,69,81.71,1388.64,26,Home improvement,N,,Settled
LN-501653,CL-102674,SF-JHB,AG-608,2024-10-10,50000,5175,"55,175.00",0.28,6,69,248.29,10278.54,27,Other,N,,Settled
LN-501654,CL-110545,SF-CPT,AG-641,12/10/2024,16500,2757.5,19257.5,0.28,12,69,86.66,2014.12,5,Funeral,N,,Settled
LN-501655,CL-106880,SF-DBN,AG-622,2024-10-17,27500,3857.5,31357.5,0.25,36,69,141.11,1456.88,25,Funeral,N,,Active
LN-501656,CL-106163,SF-DBN,AG-626,21/10/2024,50000,5175,55175,0.26,24,69,248.29,3289.82,25,Funeral,N,,Settled
LN-501657,CL-116777,SF-PLK,AG-654,2024-10-21,13000,2407.5,15407.5,0.27,18,69,69.33,1188.77,3,Medical,N,,Settled
LN-501658,CL-109029,SF-PMB,AG-633,2024-10-17,27500,3857.5,31357.5,0.28,18,69,141.11,2363.52,4,Vehicle repair,N,,Settled
LN-501659,CL-101531,SF-JHB,AG-601,2024-10-25,47500,5175,52675,0.25,24,69,237.04,3117.38,26,School fees,N,,settled
LN-501660,CL-116791,SF-PLK,AG-655,2024-10-05,29000,4007.5,"33,007.50",,24,69,148.53,"1,995.80",3,Debt consolidation,N,,Settled
LN-501661,CL-103563,SF-PTA,AG-617,2024-10-10,43500,5175,48675,0.27,18,69,219.04,3606.56,26,Vehicle repair,N,,Settled
LN-501662,CL-106059,SF-DBN,AG-624,05/10/2024,37500,4857.5,42357.5,0.28,24,69,190.61,2584.55,14,Home improvement,N,,Settled
LN-501663,CL-118389,SF-MAH,AG-659,2024-10-07,15500,2657.5,18157.5,0.26,12,69,81.71,"1,885.30",7,Medical,N,,settled
LN-501664,CL-106254,SF-DBN,AG-623,2024-10-11,24500,3557.5,28057.5,0.26,18,69,126.26,2094.29,2,School fees,N,,Settled
LN-501665,CL-116298,SF-PLK,AG-656,2024-10-07,35500,4657.5,40157.5,0.27,24,69,180.71,2433.48,2,Vehicle repair,N,,Settled
LN-501666,CL-109931,SF-PMB,AG-631,2024-10-22,50000,5175,55175,0.27,24,69,248.29,3317.72,17,Debt consolidation,N,,Written off
LN-501667,CL-111106,SF-CPT,AG-639,2024-10-14,46500,5175,51675,0.27,24,69,232.54,3111.64,26,Funeral,N,,Settled
LN-501668,CL-110298,SF-PMB,AG-631,2024-10-22,35000,4607.5,39607.5,0.28,12,69,178.23,4069.59,8,Vehicle repair,N,,Settled
LN-501669,CL-103268,SF-JHB,AG-609,2024-10-12,12000,2307.5,14307.5,0.27,12,69,64.38,"1,507.15",25,Funeral,N,,Settled
LN-501670,CL-104111,SF-PTA,AG-619,01/10/2024,50000,5175,55175,0.28,24,69,248.29,3345.76,27,Funeral,N,,Settled
LN-501671,CL-112359,SF-CPT,AG-641,2024-10-02,24000,3507.5,27507.5,0.28,24,69,123.78,"1,702.63",25,Business,N,,Settled
LN-501672,CL-102006,SF-JHB,AG-603,24/10/2024,15000,2607.5,17607.5,0.28,18,69,79.23,1357.39,26,Debt consolidation,N,,Settled
LN-501673,CL-106624,SF-DBN,AG-626,20/10/2024,14500,2557.5,17057.5,0.28,18,69,76.76,1317.15,2,Medical,N,,Settled
LN-501674,CL-116246,SF-PLK,AG-655,2024-10-07,7500,1857.5,9357.5,0.27,12,69,42.11,1009.59,3,Debt consolidation,N,,SETTLED
LN-501675,CL-112823,SF-CPT,AG-636,2024-10-24,50000,5175,"55,175.00",0.25,18,69,248.29,4024.6,27,Vehicle repair,N,,Settled
LN-501676,CL-114759,SF-BFN,AG-649,2024-10-05,34500,4557.5,39057.5,0.27,24,69,175.76,2368.71,3,Funeral,N,,Written off
LN-501677,CL-105259,SF-PTA,AG-613,2024-10-09,21500,3257.5,24757.5,0.25,12,69,111.41,2533.47,26,School fees,N,,Settled
LN-501678,CL-100532,SF-JHB,AG-603,04/10/2024,27000,3807.5,30807.5,0.27,18,69,138.63,2308,15,Home improvement,N,,Settled
LN-501679,CL-116994,SF-PLK,AG-656,2024-10-07,43000,5175,48175,0.27,12,69,216.79,4911.43,4,Medical,N,,Written off
LN-501680,CL-118730,SF-MAH,AG-662,23/10/2024,26000,3707.5,29707.5,0.28,12,69,133.68,"3,069.64",2,Funeral,N,,Settled
LN-501681,CL-111721,SF-CPT,AG-642,2024-10-01,17000,2807.5,19807.5,0.28,24,69,89.13,"1,245.34",3,Funeral,N,,Settled
LN-501682,CL-105096,SF-PTA,AG-619,24/11/2024,24000,3507.5,27507.5,0.27,18,69,123.78,2068.17,3,Debt consolidation,N,,Settled
LN-501683,CL-115508,SF-BFN,AG-651,2024-11-04,15000,2607.5,17607.5,0.27,12,69,79.23,1838.86,25,Business,N,,Settled
LN-501684,CL-115542,SF-BFN,AG-653,2024-11-25,10500,2157.5,12657.5,0.25,24,69,56.96,801.51,6,Business,N,,Active
LN-501685,CL-110228,SF-PMB,AG-632,09/11/2024,50000,5175,55175,0.27,18,69,248.29,4078.96,26,Vehicle repair,N,,Settled
LN-501686,CL-107298,SF-DBN,AG-627,2024-11-01,21500,3257.5,24757.5,0.26,12,69,111.41,2545.5,17,Funeral,N,,SETTLED
LN-501687,CL-110955,SF-CPT,AG-637,2024-11-18,49500,5175,54675,0.27,18,69,246.04,4042.63,26,Debt consolidation,N,,Settled
LN-501688,CL-110211,SF-PMB,AG-634,2024-11-27,50000,5175,55175,0.26,6,69,248.29,"10,222.92",2,Medical,N,,Settled
LN-501689,CL-101372,SF-JHB,AG-603,2024-11-14,9000,2007.5,11007.5,0.26,18,69,49.53,863.56,2,School fees,N,,Settled
LN-501690,CL-103618,SF-PTA,AG-613,03/11/2024,21500,3257.5,24757.5,0.27,12,69,111.41,2557.56,16,Business,N,,SETTLED
LN-501691,CL-118240,SF-MAH,AG-661,2024-11-26,34000,4507.5,38507.5,0.25,12,69,173.28,3902.2,27,Home improvement,N,,Settled
LN-501692,CL-118100,SF-MAH,AG-662,2024-11-08,50000,5175,55175,0.24,12,69,248.29,"5,534.61",4,School fees,Y,LN-500766,Settled
LN-501693,CL-115356,SF-BFN,AG-650,2024-11-25,15500,2657.5,18157.5,0.27,6,69,81.71,"3,419.69",25,Funeral,N,,Settled
LN-501694,CL-106938,SF-DBN,AG-628,2024-11-04,12000,2307.5,14307.5,0.28,24,69,64.38,918.7,26,School fees,N,,Active
LN-501695,CL-100301,SF-JHB,AG-601,17/11/2024,48500,5175,53675,0.27,18,69,241.54,3969.95,2,Funeral,Y,LN-500139,Settled
LN-501696,CL-109010,SF-PMB,AG-633,09/11/2024,42500,5175,47675,0.27,12,69,214.54,4861.17,26,Medical,N,,Settled
LN-501697,CL-106533,SF-DBN,AG-626,2024-11-25,49000,5175,54175,,24,69,243.79,3286.37,4,Business,Y,LN-500135,Settled
LN-501698,CL-106183,SF-DBN,AG-626,2024-11-18,17500,2857.5,20357.5,0.25,36,69,91.61,970.02,4,Other,N,,Active
LN-501699,CL-111056,SF-CPT,AG-636,11/11/2024,11500,2257.5,13757.5,0.27,18,69,61.91,1068.86,27,Business,N,,Settled
LN-501700,CL-111954,SF-CPT,AG-641,2024-11-10,15000,2607.5,17607.5,0.28,12,69,79.23,1847.46,27,Medical,N,,Settled
LN-501701,CL-112401,SF-CPT,AG-637,2024-11-20,50000,5175,55175,0.27,12,69,248.29,5615.05,25,School fees,N,,Settled
LN-501702,CL-115247,SF-BFN,AG-653,2024-11-18,14000,2507.5,16507.5,0.28,12,69,74.28,1736.36,5,Funeral,N,,SETTLED
LN-501703,CL-113154,SF-GQE,AG-647,2024-11-19,32500,4357.5,36857.5,0.26,24,69,165.86,2220.54,4,Vehicle repair,N,,Written off
LN-501704,CL-100339,SF-JHB,AG-604,2024-11-07,30500,4157.5,34657.5,0.26,18,69,155.96,2570.7,27,School fees,N,,Settled
LN-501705,CL-110857,SF-CPT,AG-642,2024-11-23,17000,2807.5,19807.5,0.27,24,69,89.13,1235.27,25,Medical,N,,Active
LN-501706,CL-103605,SF-PTA,AG-614,2024-11-08,29000,4007.5,33007.5,0.25,12,69,148.53,3354.71,2,Other,N,,Settled
LN-501707,CL-107917,SF-DBN,AG-627,2024-11-27,26500,3757.5,30257.5,0.26,18,69,136.16,2253.09,2,School fees,N,,Written off
LN-501708,CL-106381,SF-DBN,AG-622,2024-11-26,13000,2407.5,15407.5,0.26,6,69,69.33,2904.46,6,Home improvement,N,,Settled
LN-501709,CL-114762,SF-BFN,AG-651,2024-11-23,11000,2207.5,13207.5,0.27,12,69,59.43,1396.58,25,Other,N,,Settled
LN-501710,CL-115565,SF-BFN,AG-651,2024-11-28,38500,4957.5,43457.5,0.26,12,69,195.56,4416.06,26,Home improvement,N,,Settled
LN-501711,CL-108831,SF-DBN,AG-621,2024-11-14,24500,3557.5,28057.5,0.27,12,69,126.26,2889.27,26,Funeral,N,,Settled
LN-501712,CL-113873,SF-GQE,AG-645,13/11/2024,17500,2857.5,"20,357.50",0.27,12,69,91.61,2115.28,27,Other,N,,Settled
LN-501713,CL-106888,SF-DBN,AG-625,2024-11-06,22000,3307.5,25307.5,0.26,18,69,113.88,1895.78,3,Other,Y,LN-500424,Written off
LN-501714,CL-107388,SF-DBN,AG-622,13/11/2024,50000,5175,55175,0.28,24,69,248.29,3345.76,4,Debt consolidation,N,,Active
LN-501715,CL-117132,SF-PLK,AG-655,2024-11-02,23500,3457.5,26957.5,0.26,24,69,121.31,1642.63,8,Home improvement,N,,Settled
LN-501716,CL-111083,SF-CPT,AG-639,08/11/2024,42500,5175,"47,675.00",0.26,24,69,214.54,2852.01,27,Medical,N,,Settled
LN-501717,CL-115343,SF-BFN,AG-652,2024-11-26,24000,3507.5,"27,507.50",0.26,6,69,123.78,5131.24,8,Home improvement,N,,Settled
LN-501718,CL-107169,SF-DBN,AG-626,20/11/2024,43500,5175,48675,0.27,24,69,219.04,2935,27,Home improvement,N,,Active
LN-501719,CL-104009,SF-PTA,AG-615,16/11/2024,15000,2607.5,17607.5,0.26,24,69,79.23,1096.83,2,Debt consolidation,N,,Active
LN-501720,CL-118245,SF-MAH,AG-661,2024-11-04,50000,5175,55175,0.27,12,69,248.29,5615.05,25,Business,N,,Settled
LN-501721,CL-103573,SF-PTA,AG-614,2024-11-23,23000,3407.5,26407.5,0.28,6,69,118.83,4955.43,26,Business,N,,SETTLED
LN-501722,CL-100395,SF-JHB,AG-605,2024-11-07,45500,5175,50675,0.26,6,69,228.04,9394.78,25,Debt consolidation,N,,Settled
LN-501723,CL-105035,SF-PTA,AG-613,2024-11-20,30500,4157.5,"34,657.50",0.26,6,69,155.96,6447.06,27,Vehicle repair,N,,Settled
LN-501724,CL-107242,SF-DBN,AG-622,2024-11-25,23500,3457.5,26957.5,,12,69,121.31,2778.7,27,Home improvement,N,,Settled
LN-501725,CL-115448,SF-BFN,AG-651,2024-11-19,21500,3257.5,24757.5,0.27,24,69,111.41,1526.73,27,Vehicle repair,Y,LN-500748,Written off
LN-501726,CL-102832,SF-JHB,AG-605,2024-11-16,16500,2757.5,19257.5,0.26,24,69,86.66,1193.15,26,Debt consolidation,N,,Written off
LN-501727,CL-102766,SF-JHB,AG-610,2024-11-27,24000,3507.5,27507.5,0.25,18,69,123.78,2041.06,27,Funeral,N,,Settled
LN-501728,CL-110612,SF-CPT,AG-637,2024-11-06,46000,5175,51175,0.28,24,69,230.29,3108.21,26,Vehicle repair,N,,Settled
LN-501729,CL-105308,SF-PTA,AG-618,2024-11-26,44000,5175,49175,0.27,18,69,221.29,3642.9,27,Debt consolidation,N,,Settled
LN-501730,CL-114178,SF-GQE,AG-643,25/11/2024,26500,3757.5,30257.5,0.26,36,69,136.16,1424.25,26,Funeral,N,,active
LN-501731,CL-101627,SF-JHB,AG-603,2024-11-05,35000,4607.5,39607.5,0.27,6,69,178.23,7377.97,26,Home improvement,Y,LN-500759,Settled
LN-501732,CL-113619,SF-GQE,AG-645,2024-11-08,46000,5175,51175,0.28,12,69,230.29,5237.98,2,Other,N,,Settled
LN-501733,CL-101590,SF-JHB,AG-610,2024-11-20,28000,3907.5,31907.5,0.25,6,69,143.58,5924.93,27,Funeral,N,,Settled
LN-501734,CL-116414,SF-PLK,AG-656,2024-11-09,50000,5175,55175,0.26,24,69,248.29,3289.82,1,Home improvement,N,,Settled
LN-501735,CL-105693,SF-PTA,AG-620,2024-11-04,21500,3257.5,24757.5,0.25,24,69,111.41,"1,501.75",22,Other,N,,Active
LN-501736,CL-102281,SF-JHB,AG-602,2024-11-05,50000,5175,55175,0.27,12,69,248.29,5615.05,26,Funeral,N,,Settled
LN-501737,CL-103302,SF-JHB,AG-606,28/11/2024,25500,3657.5,29157.5,0.28,12,69,131.21,3014.08,25,Debt consolidation,N,,Settled
LN-501738,CL-104219,SF-PTA,AG-616,2024-11-02,18000,2907.5,20907.5,0.28,24,69,94.08,1310.67,2,Debt consolidation,N,,Written off
LN-501739,CL-115287,SF-BFN,AG-652,18/11/2024,50000,5175,55175,0.27,12,69,248.29,5615.05,25,Debt consolidation,Y,LN-500811,Written off
LN-501740,CL-115964,SF-BFN,AG-652,06/11/2024,12500,2357.5,14857.5,0.28,12,69,66.86,1569.7,27,Funeral,N,,Settled
LN-501741,CL-116872,SF-PLK,AG-656,14/11/2024,35500,4657.5,40157.5,0.28,18,69,180.71,3007.44,27,Vehicle repair,Y,LN-500359,Settled
LN-501742,CL-101570,SF-JHB,AG-610,2024-11-26,43500,5175,48675,0.26,18,69,219.04,3582.53,25,Funeral,N,,Settled
LN-501743,CL-114032,SF-GQE,AG-644,2024-11-26,40000,5107.5,45107.5,0.27,24,69,202.98,2724.94,2,Business,N,,Written off
LN-501744,CL-101538,SF-JHB,AG-606,2024-11-28,50000,5175,55175,0.27,18,69,248.29,4078.96,27,Medical,N,,Settled
LN-501745,CL-108957,SF-PMB,AG-634,10/11/2024,15000,2607.5,17607.5,0.28,18,69,79.23,"1,357.39",25,Funeral,N,,Settled
LN-501746,CL-102263,SF-JHB,AG-605,2024-11-16,34000,4507.5,38507.5,0.27,24,69,173.28,2336.33,7,Home improvement,N,,Active
LN-501747,CL-102372,SF-JHB,AG-601,28/11/2024,23500,3457.5,26957.5,0.28,6,69,121.31,5057.2,25,Home improvement,N,,Settled
LN-501748,CL-108066,SF-DBN,AG-627,13/11/2024,15500,2657.5,18157.5,0.28,12,69,81.71,1903.02,9,Medical,N,,Settled
LN-501749,CL-114029,SF-GQE,AG-646,24/11/2024,20000,3107.5,23107.5,0.27,6,69,103.98,4333.14,26,Medical,Y,LN-500771,Settled
LN-501750,CL-112532,SF-CPT,AG-636,10/11/2024,50000,5175,55175,0.28,24,69,248.29,3345.76,2,Home improvement,N,,Active
LN-501751,CL-104983,SF-PTA,AG-616,2024-11-05,12500,2357.5,14857.5,0.26,24,69,66.86,936.3,25,Vehicle repair,N,,Written off
LN-501752,CL-112531,SF-CPT,AG-640,2024-11-10,50000,5175,55175,0.26,36,69,248.29,2540.32,25,Funeral,N,,Settled
LN-501753,CL-115895,SF-BFN,AG-650,21/11/2024,17000,2807.5,19807.5,0.24,6,69,89.13,3694.28,27,School fees,N,,Settled
LN-501754,CL-103105,SF-JHB,AG-603,2024-11-21,46500,5175,51675,0.26,18,69,232.54,3799.08,26,Funeral,N,,Written off
LN-501755,CL-104844,SF-PTA,AG-612,2024-11-26,50000,5175,55175,0.27,12,69,248.29,5615.05,8,Vehicle repair,N,,Settled
LN-501756,CL-112355,SF-CPT,AG-641,2024-11-19,41000,5175,46175,0.27,24,69,207.79,2787.79,26,School fees,N,,SETTLED
LN-501757,CL-104672,SF-PTA,AG-613,2024-11-28,14000,2507.5,16507.5,0.27,12,69,74.28,1728.29,25,Debt consolidation,N,,settled
LN-501758,CL-110597,SF-CPT,AG-637,2024-11-01,43500,5175,48675,0.26,24,69,219.04,2910.38,4,School fees,N,,Active
LN-501759,CL-116767,SF-PLK,AG-654,2024-11-09,33500,4457.5,37957.5,0.27,18,69,170.81,2827.64,25,Other,N,,Settled
LN-501760,CL-100367,SF-JHB,AG-608,19/11/2024,20500,3157.5,23657.5,0.26,12,69,106.46,2435.46,26,School fees,N,,Settled
LN-501761,CL-101078,SF-JHB,AG-610,2024-11-16,16000,2707.5,18707.5,0.28,24,69,84.18,1180.01,3,School fees,N,,Settled
LN-501762,CL-109384,SF-PMB,AG-634,2024-11-14,28000,3907.5,31907.5,0.28,12,69,143.58,3291.85,26,Vehicle repair,N,,Settled
LN-501763,CL-108490,SF-DBN,AG-623,2024-11-09,6000,1707.5,7707.5,0.25,36,69,34.68,410.13,18,Vehicle repair,N,,Active
LN-501764,CL-114301,SF-GQE,AG-643,2024-11-03,14500,2557.5,17057.5,0.28,12,69,76.76,1791.91,4,Funeral,N,,Settled
LN-501765,CL-104937,SF-PTA,AG-618,24/11/2024,23000,3407.5,26407.5,0.26,12,69,118.83,2710.55,26,Vehicle repair,N,,Settled
LN-501766,CL-105991,SF-PTA,AG-617,2024-11-27,17500,2857.5,20357.5,0.27,24,69,91.61,1267.65,3,Other,N,,Active
LN-501767,CL-108439,SF-DBN,AG-629,14/11/2024,34500,4557.5,39057.5,0.28,12,69,175.76,4014.04,27,Funeral,N,,Settled
LN-501768,CL-117831,SF-PLK,AG-656,10/11/2024,21000,3207.5,"24,207.50",0.28,24,69,108.93,1506.65,26,Vehicle repair,N,,Active
LN-501769,CL-106096,SF-DBN,AG-622,27/11/2024,21500,3257.5,24757.5,0.28,12,69,111.41,"2,569.66",26,Medical,N,,Written off
LN-501770,CL-111334,SF-CPT,AG-639,09/11/2024,50000,5175,55175,0.25,12,69,248.29,5561.35,2,Funeral,N,,Settled
LN-501771,CL-118626,SF-MAH,AG-661,2024-11-24,38000,4907.5,42907.5,0.28,24,69,193.08,2617.21,27,Medical,N,,Active
LN-501772,CL-101412,SF-JHB,AG-608,2024-11-10,50000,5175,"55,175.00",0.28,12,69,248.29,5642.01,27,Business,N,,Settled
LN-501773,CL-116074,SF-BFN,AG-652,13/11/2024,27000,3807.5,"30,807.50",0.26,18,69,138.63,2292.79,3,Business,N,,Settled
LN-501774,CL-102660,SF-JHB,AG-603,2024-11-20,38000,4907.5,42907.5,0.26,24,69,193.08,2573.71,25,Business,N,,Active
LN-501775,CL-116219,SF-PLK,AG-658,2024-11-08,11000,2207.5,13207.5,0.27,24,69,59.43,846.66,8,Medical,N,,Active
LN-501776,CL-102585,SF-JHB,AG-608,2024-11-28,23000,3407.5,26407.5,0.27,6,69,118.83,4942.11,25,Debt consolidation,N,,written off
LN-501777,CL-108851,SF-PMB,AG-634,2024-11-18,20500,3157.5,"23,657.50",0.28,6,69,106.46,4446.57,9,Debt consolidation,N,,Settled
LN-501778,CL-117007,SF-PLK,AG-654,2024-11-10,35500,4657.5,40157.5,0.25,24,69,180.71,2392.98,8,Debt consolidation,N,,Active
LN-501779,CL-106771,SF-DBN,AG-621,2024-11-17,13500,2457.5,15957.5,0.25,24,69,71.81,992.48,27,Debt consolidation,N,,Settled
LN-501780,CL-112044,SF-CPT,AG-640,2024-11-26,29500,4057.5,33557.5,0.27,36,69,151.01,1590,3,Medical,N,,Active
LN-501781,CL-105867,SF-PTA,AG-619,2024-11-05,50000,5175,55175,0.28,12,69,248.29,5642.01,4,Debt consolidation,N,,Settled
LN-501782,CL-112507,SF-CPT,AG-640,2024-11-11,48000,5175,53175,0.26,18,69,239.29,3907.36,2,School fees,N,,Settled
