assessment_id,loan_id,assessed_at,assessor_agent_id,declared_gross_income_zar,declared_net_income_zar,declared_expenses_zar,existing_obligations_zar,regulated_expense_norm_zar,disposable_income_zar,disposable_after_instalment_zar
AF-700809,LN-500809,2024-09-26,AG-610,17700,15760,2409,7072,2379.92,6279,2768.65
AF-700810,LN-500810,2024-09-19,AG-653,8100,7414,1720,556,1727.12,5138,3597.86
AF-700811,LN-500811,2024-09-25,AG-650,17250,14226,2309,6658,2349.32,5259,1972.63
AF-700812,LN-500812,2024-09-26,AG-658,8900,7798,1680,4505,1781.52,1613,766.34
AF-700813,LN-500813,2024-09-09,AG-655,18900,16141,2751,7879,2461.52,5511,2799.73
AF-700814,LN-500814,2024-09-10,AG-608,7650,6738,1844,2375,1696.52,2519,-1316.94
AF-700815,LN-500815,2024-09-07,AG-638,10900,10024,2139,3734,1917.52,4151,3271.96
AF-700816,LN-500816,2024-09-19,AG-621,17600,15353,2398,5712,2373.12,7243,2951.19
AF-700817,LN-500817,2024-09-10,AG-652,10800,9172,1972,4604,1910.72,2596,-1177.82
AF-700818,LN-500818,2024-09-19,AG-605,13100,11120,2192,3854,2067.12,5074,1136.29
AF-700819,LN-500819,2024-09-21,AG-626,6250,5536,1536,1899,1590.26,2101,962.88
AF-700820,LN-500820,2024-09-10,AG-635,9250,7848,2006,1781,1805.32,4061,1887.31
AF-700821,LN-500821,2024-09-25,AG-627,19550,16248,2803,9211,2505.72,4234,2124.36
AF-700822,LN-500822,2024-09-11,AG-652,16450,14758,2481,990,2294.92,11287,1008.46
AF-700823,LN-500823,2024-10-21,AG-646,22350,19834,2661,9958,2696.12,7215,1599.95
AF-700824,LN-500824,2024-10-12,AG-648,11650,10324,1916,3853,1968.52,4555,3201.32
AF-700825,LN-500825,2024-10-23,AG-649,12300,10826,2070,0,2012.72,8756,4353.09
AF-700826,LN-500826,2024-10-13,AG-611,40650,36032,3995,12158,3931.25,19879,15772.69
AF-700827,LN-500827,2024-10-14,AG-630,21300,18378,2634,4371,2624.72,11373,10086.52
AF-700828,LN-500828,2024-10-15,AG-601,20350,18690,2405,5167,2560.12,11118,7800.28
AF-700829,LN-500829,2024-10-07,AG-627,5850,4951,1467,2434,1559.26,1050,-120.08
AF-700830,LN-500830,2024-10-14,AG-617,13600,12177,2145,1818,2101.12,8214,2070.59
AF-700831,LN-500831,2024-10-09,AG-625,7850,6556,1679,1749,1710.12,3128,2078.64
AF-700832,LN-500832,2024-10-03,AG-630,9650,8834,1914,670,1832.52,6250,5167.98
AF-700833,LN-500833,2024-10-07,AG-649,9250,8253,1895,2394,1805.32,3964,776.6
AF-700834,LN-500834,2024-10-19,AG-602,16500,14894,2416,5075,2298.32,7403,4900.73
AF-700835,LN-500835,2024-09-30,AG-646,10000,9176,1735,3465,1856.32,"3,976.00",2660.22
AF-700836,LN-500836,2024-10-17,AG-617,8800,7710,1961,874,1774.72,4875,2774.73
AF-700837,LN-500837,2024-10-18,AG-620,14500,13034,2157,2921,2162.32,7956,3849.69
AF-700838,LN-500838,2024-10-06,AG-621,12300,11175,1877,2386,2012.72,6912,1673.94
AF-700839,LN-500839,2024-10-14,AG-612,7500,6822,1587,1174,1686.32,"4,061.00",1887.31
AF-700840,LN-500840,2024-10-23,AG-649,9100,8170,1768,3283,1795.12,3119,-595.2
AF-700841,LN-500841,2024-10-20,AG-629,31800,26602,3471,8681,3319.71,14450,10371.04
AF-700842,LN-500842,2024-10-22,AG-641,21000,19233,2852,4895,2604.32,11486,8218.66
AF-700843,LN-500843,2024-10-28,AG-611,20350,18106,2526,4650,2560.12,10930,5368.65
AF-700844,LN-500844,2024-10-18,AG-636,7950,7195,1708,923,1716.92,"4,564.00",1753.27
AF-700845,LN-500845,2024-10-09,AG-626,4200,3601,1331,1633,1431.38,637,-543.82
AF-700846,LN-500846,2024-10-09,AG-646,5650,4962,1709,1849,1543.76,1404,123.86
AF-700847,LN-500847,2024-10-23,AG-609,16600,14521,2340,4730,2305.12,7451,2362.99
AF-700848,LN-500848,2024-10-08,AG-612,10250,9038,1986,4889,1873.32,2163,-3980.41
AF-700849,LN-500849,2024-10-10,AG-650,8100,7260,1724,2993,1727.12,2543,783.58
AF-700850,LN-500850,2024-10-25,AG-612,10300,9163,1922,2943,1876.72,4298,-118.06
AF-700851,LN-500851,2024-10-18,AG-627,12200,10539,2212,3348,2005.92,4979,652.33
AF-700852,LN-500852,2024-10-14,AG-602,10900,9644,1862,4110,1917.52,3672,1740.73
AF-700853,LN-500853,2024-10-03,AG-625,6750,6188,1615,1274,1635.32,"3,299.00",1070.94
AF-700854,LN-500854,2024-10-21,AG-649,15800,12957,2230,3525,2250.72,7202,4208.12
AF-700855,LN-500855,2024-10-04,AG-662,11100,9862,2132,3168,1931.12,4562,1672.73
AF-700856,LN-500856,2024-10-20,AG-647,15050,12730,2133,5116,2199.72,5481,2310.48
AF-700857,LN-500857,2024-10-01,AG-605,9950,8722,1871,3638,1852.92,3213,1272.69
AF-700858,LN-500858,2024-10-13,AG-602,19050,15795,2287,7319,2471.72,6189,600.84
AF-700859,LN-500859,2024-10-27,AG-630,13550,11340,2079,8672,2097.72,589,-2292.19
AF-700860,LN-500860,2024-10-15,AG-655,11750,10302,1924,1028,1975.32,7350,1626.95
AF-700861,LN-500861,2024-10-24,AG-653,5100,4620,1428,452,1501.13,2740,1704.57
AF-700862,LN-500862,2024-10-05,AG-607,8300,7382,1711,2608,1740.72,3063,1568.66
AF-700863,LN-500863,2024-10-05,AG-655,5000,4528,1538,459,1493.38,2531,1691.02
AF-700864,LN-500864,2024-10-15,AG-612,7950,7254,1589,2211,1716.92,3454,2056.81
AF-700865,LN-500865,2024-10-20,AG-650,18200,16044,2592,11648,2413.92,1804,363.57
AF-700866,LN-500866,2024-10-04,AG-613,17350,15103,2560,1243,2356.12,11300,8759.68
AF-700867,LN-500867,2024-10-10,AG-607,9450,7905,1905,1917,1818.92,4083,1276.79
AF-700868,LN-500868,2024-10-13,AG-606,13650,12097,2085,4017,2104.52,5995,2968.17
AF-700869,LN-500869,2024-10-06,AG-606,13000,11017,2298,3795,2060.32,"4,924.00",971.1
AF-700870,LN-500870,2024-10-12,AG-608,7150,5986,1701,1198,1662.52,3087,1778.31
AF-700871,LN-500871,2024-10-21,AG-662,4600,4138,1419,38,1462.38,2681,1899.51
AF-700872,LN-500872,2024-10-27,AG-617,16000,13265,2441,3476,2264.32,7348,2189.03
AF-700873,LN-500873,2024-10-21,AG-629,6550,5429,1776,1583,1621.72,"2,070.00",728.7
AF-700874,LN-500874,2024-09-28,AG-628,28300,23378,3294,6153,3077.86,13931,10668.94
AF-700875,LN-500875,2024-10-10,AG-639,11700,9694,2016,1519,1971.92,6159,1493.55
AF-700876,LN-500876,2024-10-16,AG-639,14450,12713,2228,5055,2158.92,5430,1323.69
AF-700877,LN-500877,2024-10-10,AG-644,5600,4796,1464,2410,1539.88,922,30.08
AF-700878,LN-500878,2024-10-21,AG-636,9750,8468,2020,2319,1839.32,4129,-265.94
AF-700879,LN-500879,2024-10-19,AG-626,15350,12671,2398,0,2220.12,10273,4934.91
AF-700880,LN-500880,2024-10-21,AG-602,4900,4175,1525,1872,1485.63,778,-336.68
AF-700881,LN-500881,2024-10-12,AG-630,9300,7658,1984,1338,1808.72,4336,2766.3
AF-700882,LN-500882,2024-10-02,AG-603,7700,6798,1620,523,1699.92,4655,2826.67
AF-700883,LN-500883,2024-10-16,AG-662,5450,4915,1473,1887,1528.26,"1,555.00",144.83
AF-700884,LN-500884,2024-10-14,AG-654,14450,12339,2205,6251,2158.92,3883,182.16
AF-700885,LN-500885,2024-10-04,AG-622,24500,21605,2961,8186,2842.32,10458,4815.99
AF-700886,LN-500886,2024-10-11,AG-644,14250,12125,2157,3899,2145.32,6069,4201.63
AF-700887,LN-500887,2024-10-18,AG-639,22100,19308,2487,7021,2679.12,9800,4238.65
AF-700888,LN-500888,2024-10-07,AG-651,5950,5449,1583,1472,1567.01,2394,1701.44
AF-700889,LN-500889,2024-10-12,AG-620,11250,9238,1808,4540,1941.32,2890,-1893.45
AF-700890,LN-500890,2024-10-22,AG-627,13800,11468,2232,5159,2114.72,4077,1892.45
AF-700891,LN-500891,2024-10-19,AG-606,8050,7355,1877,2584,1723.72,2894,636.09
AF-700892,LN-500892,2024-10-20,AG-619,9750,8015,2057,2508,1839.32,3450,1014.63
AF-700893,LN-500893,2024-10-04,AG-633,27550,24441,3094,3667,3026.04,17680,7457.08
AF-700894,LN-500894,2024-10-16,AG-637,10400,9156,1900,3985,1883.52,3271,1711.89
AF-700895,LN-500895,2024-10-01,AG-632,9650,8483,2051,4179,1832.52,2253,-145.38
AF-700896,LN-500896,2024-10-01,AG-613,24750,22749,2778,8063,2859.32,11908,6319.84
AF-700897,LN-500897,2024-10-26,AG-628,16550,14332,2380,6235,2301.72,5717,-4072.38
AF-700898,LN-500898,2024-10-03,AG-603,13900,12202,2201,4257,2121.52,5744,1207.87
AF-700899,LN-500899,2024-10-10,AG-614,6700,5996,1815,2708,1631.92,1473,-1763.3
AF-700900,LN-500900,2024-09-29,AG-610,11350,9739,2178,3973,1948.12,3588,1232.1
AF-700901,LN-500901,2024-10-15,AG-656,9750,8427,1916,930,1839.32,5581,3872.58
AF-700902,LN-500902,2024-10-23,AG-605,26550,21771,3159,9500,2956.94,9112,5822.18
AF-700903,LN-500903,2024-10-05,AG-626,9050,7731,1962,5054,1791.72,715,-843.62
AF-700904,LN-500904,2024-10-16,AG-662,23850,19669,2892,2897,2798.12,13880,8237.99
AF-700905,LN-500905,2024-10-15,AG-662,12300,10785,2226,5998,2012.72,2561,-3000.35
AF-700906,LN-500906,2024-10-01,AG-622,6300,5426,1573,1506,1604.72,2347,1597.49
AF-700907,LN-500907,2024-10-13,AG-651,9950,8259,1847,4810,1852.92,1602,-2628.69
AF-700908,LN-500908,2024-10-16,AG-613,5600,5150,1660,1811,1539.88,1679,140.52
AF-700909,LN-500909,2024-10-03,AG-620,4700,4022,1534,1577,1470.13,911,-486.64
AF-700910,LN-500910,2024-10-13,AG-631,7600,6941,1838,879,1693.12,4224,1003.03
AF-700911,LN-500911,2024-10-03,AG-625,18550,16227,2668,3598,2437.72,9961,7237.59
AF-700912,LN-500912,2024-10-19,AG-614,16150,14685,2171,5045,2274.52,7469,4123.24
AF-700913,LN-500913,2024-10-14,AG-633,8050,6921,1855,5152,1723.72,-86,-1377.93
AF-700914,LN-500914,2024-10-06,AG-639,8000,6691,1921,1621,1720.32,3149,1424.44
AF-700915,LN-500915,2024-10-03,AG-610,10200,9312,2083,0,1869.92,7229,6277.64
AF-700916,LN-500916,2024-10-21,AG-620,6600,5430,1632,890,1625.12,2908,679.94
AF-700917,LN-500917,2024-10-25,AG-633,9450,8273,1913,3163,1818.92,3197,849.02
AF-700918,LN-500918,2024-10-27,AG-630,12400,11294,1990,7493,2019.52,1811,86.44
AF-700919,LN-500919,2024-10-09,AG-634,18450,15249,2508,4185,2430.92,8556,4449.69
AF-700920,LN-500920,2024-10-20,AG-662,17750,14885,2213,7203,2383.32,5469,-3465.71
AF-700921,LN-500921,2024-10-03,AG-604,15050,13392,2374,3789,2199.72,7229,4504.06
AF-700922,LN-500922,2024-10-18,AG-645,14400,12743,2184,4074,2155.52,6485,896.84
AF-700923,LN-500923,2024-10-18,AG-623,10000,8964,1884,2001,1856.32,5079,2643.54
AF-700924,LN-500924,2024-10-01,AG-624,21650,19497,2700,8362,2648.52,8435,5174.37
AF-700925,LN-500925,2024-10-20,AG-612,19900,16338,2711,9997,2529.52,3630,-2012.01
AF-700926,LN-500926,2024-10-04,AG-611,10550,9369,1832,1380,1893.72,6157,-87.63
AF-700927,LN-500927,2024-10-16,AG-657,12750,10559,2208,0,2043.32,8351,6625.38
AF-700928,LN-500928,2024-10-23,AG-603,6450,5720,1534,1280,1614.92,2906,2313.15
AF-700929,LN-500929,2024-10-07,AG-608,17200,14685,2529,2635,2345.92,9521,6773.3
AF-700930,LN-500930,2024-10-27,AG-609,13350,11777,2151,1996,2084.12,7630,2139.5
AF-700931,LN-500931,2024-10-05,AG-646,8850,7294,1782,2561,1778.12,2951,-491.11
AF-700932,LN-500932,2024-10-06,AG-623,9800,8763,2051,2137,1842.72,4575,1864.45
AF-700933,LN-500933,2024-10-19,AG-633,10350,9382,2016,4475,1880.12,2891,-518.45
AF-700934,LN-500934,2024-10-10,AG-621,5650,5066,1669,2315,1543.76,"1,082.00",-120.89
AF-700935,LN-500935,2024-10-16,AG-626,12500,10906,2161,6174,2026.32,2571,1024.69
AF-700936,LN-500936,2024-10-05,AG-608,9700,8714,1808,1378,1835.92,5528,3566.78
AF-700937,LN-500937,2024-10-26,AG-620,6050,5015,1549,1549,1574.76,1917,-2923.61
AF-700938,LN-500938,2024-10-13,AG-650,7850,7004,1824,2518,1710.12,2662,-724.83
AF-700939,LN-500939,2024-10-20,AG-648,9950,8669,1734,4513,1852.92,2422,-549.46
AF-700940,LN-500940,2024-10-03,AG-611,6650,5923,1723,2008,1628.52,2192,361.72
AF-700941,LN-500941,2024-10-25,AG-634,11300,9972,2032,5665,1944.72,2275,931.67
AF-700942,LN-500942,2024-10-10,AG-631,12500,10787,1990,1226,2026.32,7571,4444.49
AF-700943,LN-500943,2024-10-06,AG-646,6800,6226,1680,2991,1638.72,1555,-513.17
AF-700944,LN-500944,2024-10-19,AG-632,7450,6579,1790,2123,1682.92,2666,1074.5
AF-700945,LN-500945,2024-10-03,AG-651,12400,11283,2038,5911,2019.52,3334,1958.01
AF-700946,LN-500946,2024-10-05,AG-653,8950,7539,1791,2816,1784.92,2932,195.68
AF-700947,LN-500947,2024-10-12,AG-641,21250,18798,2858,3122,2621.32,12818,7229.84
AF-700948,LN-500948,2024-10-19,AG-613,12600,11121,2138,6662,2033.12,2321,-605.95
AF-700949,LN-500949,2024-09-30,AG-635,15950,13348,2120,1748,2260.92,"9,480.00",4093.98
AF-700950,LN-500950,2024-10-23,AG-656,13300,11236,2111,6008,2080.72,3117,-1541.37
AF-700951,LN-500951,2024-10-16,AG-629,7500,6692,1609,1994,1686.32,3089,2409.55
AF-700952,LN-500952,2024-10-16,AG-644,4300,3828,1337,2309,1439.13,182,-330.76
AF-700953,LN-500953,2024-10-08,AG-628,25500,21650,3083,11678,2884.38,6889,1273.95
AF-700954,LN-500954,2024-10-25,AG-617,29750,24848,3158,15009,3178.06,6681,3391.18
AF-700955,LN-500955,2024-10-19,AG-605,11000,9872,2122,4246,1924.32,3504,2030.02
AF-700956,LN-500956,2024-10-09,AG-661,5650,4796,1585,814,1543.76,2397,1612.03
AF-700957,LN-500957,2024-10-18,AG-629,5050,4399,1670,1967,1497.26,762,-3073.94
AF-700958,LN-500958,2024-10-22,AG-650,4250,3685,1559,1254,1435.26,872,284.41
AF-700959,LN-500959,2024-09-30,AG-607,8200,7526,1839,1296,1733.92,4391,2202.91
AF-700960,LN-500960,2024-10-05,AG-608,10850,9975,1882,5042,1914.12,3051,908.97
AF-700961,LN-500961,2024-10-07,AG-652,13350,11110,1942,1304,2084.12,7864,5769.41
AF-700962,LN-500962,2024-10-04,AG-636,42150,38534,3956,24103,4034.89,10475,6784.19
AF-700963,LN-500963,2024-10-03,AG-649,8950,8140,1925,97,1784.92,6118,5087.91
AF-700964,LN-500964,2024-10-25,AG-604,38900,33041,3972,10108,3810.32,18961,16391.18
AF-700965,LN-500965,2024-10-01,AG-652,12900,11679,2230,6384,2053.52,3065,-161.98
AF-700966,LN-500966,2024-09-29,AG-609,30850,26084,3541,9269,3254.07,13274,7685.84
AF-700967,LN-500967,2024-10-12,AG-652,16350,13874,2216,5492,2288.12,6166,2848.28
AF-700968,LN-500968,2024-10-01,AG-614,15000,13552,2033,7513,2196.32,4006,-1282.07
AF-700969,LN-500969,2024-10-23,AG-639,10150,9321,1726,5116,1866.52,2479,1496.34
AF-700970,LN-500970,2024-10-09,AG-635,6300,5450,1515,1318,1604.72,2617,1308.31
AF-700971,LN-500971,2024-10-03,AG-656,12250,10307,1906,4244,2009.32,4157,217.33
AF-700972,LN-500972,2024-10-07,AG-643,15200,13431,2180,3384,2209.92,7867,3872.04
AF-700973,LN-500973,2024-10-09,AG-611,6550,5557,1514,2481,1621.72,1562,-158.25
AF-700974,LN-500974,2024-10-03,AG-654,7400,6282,1838,544,1679.52,3900,2116.42
AF-700975,LN-500975,2024-10-23,AG-636,23150,20562,2622,5027,2750.52,"12,913.00",9595.28
AF-700976,LN-500976,2024-10-28,AG-631,12550,10681,2109,6274,2029.72,2298,789.45
AF-700977,LN-500977,2024-10-16,AG-617,27200,24179,3242,2633,3001.85,18304,8025.46
AF-700978,LN-500978,2024-10-19,AG-605,8250,7256,1671,0,1737.32,5585,3281.46
AF-700979,LN-500979,2024-10-01,AG-631,12050,10633,1925,4585,1995.72,4123,396.1
AF-700980,LN-500980,2024-10-21,AG-652,23450,21038,2854,6959,2770.92,11225,7200.4
AF-700981,LN-500981,2024-10-27,AG-636,9100,7580,1939,2464,1795.12,3177,1148.8
AF-700982,LN-500982,2024-10-10,AG-610,11650,9678,2179,3211,1968.52,4288,3255.38
AF-700983,LN-500983,2024-10-17,AG-627,8050,7182,1658,3958,1723.72,1566,-140.84
AF-700984,LN-500984,2024-10-05,AG-602,20600,17865,2458,7635,2577.12,7772,3775.45
AF-700985,LN-500985,2024-10-15,AG-614,16550,13745,2515,0,2301.72,11230,7884.24
AF-700986,LN-500986,2024-10-20,AG-659,43100,39013,4010,10941,4100.54,24062,13783.46
AF-700987,LN-500987,2024-10-02,AG-605,9400,8087,1853,3930,1815.52,2304,675.53
AF-700988,LN-500988,2024-10-10,AG-629,21950,19139,2612,4435,2668.92,12092,6449.99
AF-700989,LN-500989,2024-10-20,AG-607,23000,19306,2879,1018,2740.32,15409,10625.55
AF-700990,LN-500990,2024-10-13,AG-654,8050,7000,1899,2046,1723.72,3055,124.39
AF-700991,LN-500991,2024-10-26,AG-626,9850,8331,1771,4803,1846.12,1757,-678.46
AF-700992,LN-500992,2024-10-13,AG-605,13900,12265,1963,4053,2121.52,6249,2820.15
AF-700993,LN-500993,2024-10-06,AG-654,10450,9114,2004,2704,1886.92,4406,265.02
AF-700994,LN-500994,2024-09-29,AG-610,14150,12733,2076,3354,2138.52,7303,1969.33
AF-700995,LN-500995,2024-10-14,AG-656,13250,11833,2290,6528,2077.32,3015,537.61
AF-700996,LN-500996,2024-09-29,AG-613,5650,4888,1426,474,1543.76,2988,1147.67
AF-700997,LN-500997,2024-10-02,AG-638,13650,11429,2072,1359,2104.52,7998,4273.82
AF-700998,LN-500998,2024-10-05,AG-607,16200,13988,2141,4782,2277.92,7065,1503.65
AF-700999,LN-500999,2024-10-10,AG-629,9550,7868,1999,3044,1825.72,2825,-1888.64
AF-701000,LN-501000,2024-10-12,AG-601,4900,4081,1542,1715,1485.63,824,139.26
AF-701001,LN-501001,2024-10-26,AG-623,17200,15113,2209,11008,2345.92,1896,-2965.17
AF-701002,LN-501002,2024-10-14,AG-648,9950,8506,1915,3537,1852.92,3054,555.75
AF-701003,LN-501003,2024-10-19,AG-627,10450,9186,1800,2828,1886.92,"4,558.00",1250.69
AF-701004,LN-501004,2024-10-04,AG-647,6000,5102,1610,1364,1570.88,2128,408.4
AF-701005,LN-501005,2024-10-09,AG-662,21550,18514,2848,7586,2641.72,8080,4938.92
AF-701006,LN-501006,2024-10-19,AG-660,8750,7214,1680,2344,1771.32,3190,1879.33
AF-701007,LN-501007,2024-10-05,AG-617,7700,6936,1791,3923,1699.92,1222,-1069.89
AF-701008,LN-501008,2024-10-12,AG-633,6100,5609,1753,499,1578.63,3357,1231.77
AF-701009,LN-501009,2024-10-13,AG-604,7900,6543,1835,1745,1713.52,2963,1000.8
AF-701010,LN-501010,2024-10-01,AG-621,14850,12551,2165,1333,2186.12,9053,4974.04
AF-701011,LN-501011,2024-10-17,AG-604,8100,6865,1816,3968,1727.12,1081,-2619.84
AF-701012,LN-501012,2024-10-25,AG-645,14650,12107,2130,4356,2172.52,5621,59.65
AF-701013,LN-501013,2024-10-11,AG-615,16900,15171,2389,3345,2325.52,"9,437.00",5746.19
AF-701014,LN-501014,2024-10-10,AG-606,5850,5036,1461,1296,1559.26,2279,1604.81
AF-701015,LN-501015,2024-10-20,AG-626,8400,7042,1907,4709,1747.52,426,-3366.7
AF-701016,LN-501016,2024-10-06,AG-652,6950,5712,1682,2066,1648.92,1964,130.72
AF-701017,LN-501017,2024-10-14,AG-629,4650,3898,1592,1830,1466.26,476,-899.99
AF-701018,LN-501018,2024-10-17,AG-658,4850,4408,1562,799,1481.76,2047,-78.23
AF-701019,LN-501019,2024-10-09,AG-606,20350,16972,2463,2018,2560.12,12491,6902.84
AF-701020,LN-501020,2024-10-19,AG-658,4800,4036,1425,466,1477.88,2145,756.36
AF-701021,LN-501021,2024-10-25,AG-662,7250,6367,1820,226,1669.32,4321,3219.23
AF-701022,LN-501022,2024-10-07,AG-638,13500,12056,2126,1613,2094.32,8317,4045.62
AF-701023,LN-501023,2024-10-09,AG-645,10500,8910,2074,4355,1890.32,2481,974.35
AF-701024,LN-501024,2024-10-03,AG-629,10850,9018,2001,1713,1914.12,5304,3341.8
AF-701025,LN-501025,2024-10-21,AG-639,14800,13598,2227,753,2182.72,10618,8576.44
AF-701026,LN-501026,2024-10-08,AG-652,19600,17370,2383,8769,2509.12,6218,3009.34
AF-701027,LN-501027,2024-10-08,AG-658,5650,4784,1458,1734,1543.76,1592,-36.47
AF-701028,LN-501028,2024-10-12,AG-633,10400,9458,2047,3636,1883.52,"3,775.00",904.35
AF-701029,LN-501029,2024-10-09,AG-629,20750,17064,2706,3251,2587.32,11107,5518.84
AF-701030,LN-501030,2024-10-12,AG-610,14800,12819,2077,6865,2182.72,3877,2931.32
AF-701031,LN-501031,2024-10-03,AG-649,6500,5600,1570,607,1618.32,3423,2039.27
AF-701032,LN-501032,2024-10-06,AG-634,14550,12496,2407,5732,2165.72,4357,-654.94
AF-701033,LN-501033,2024-10-06,AG-657,18000,14766,2386,6588,2400.32,5792,3240.12
AF-701034,LN-501034,2024-10-03,AG-641,5250,4340,1444,59,1512.76,2837,1378.41
AF-701035,LN-501035,2024-10-10,AG-618,11850,10441,1897,2540,1982.12,6004,4187.62
AF-701036,LN-501036,2024-10-25,AG-635,17700,15697,2240,3329,2379.92,10128,-150.54
AF-701037,LN-501037,2024-09-29,AG-650,8450,7755,1686,1019,1750.92,5050,-789.76
AF-701038,LN-501038,2024-10-25,AG-609,15350,13772,2100,4612,2220.12,7060,3742.28
AF-701039,LN-501039,2024-10-19,AG-661,9550,8758,1763,3655,1825.72,3340,904.63
AF-701040,LN-501040,2024-10-09,AG-657,6750,5615,1659,1323,1635.32,2633,543.81
AF-701041,LN-501041,2024-10-07,AG-602,16250,13487,2388,6266,2281.32,"4,833.00",1665.41
AF-701042,LN-501042,2024-10-11,AG-624,14200,12657,2168,5566,2141.92,4923,1131.17
AF-701043,LN-501043,2024-10-26,AG-614,14250,12814,2083,6406,2145.32,4325,730.9
AF-701044,LN-501044,2024-10-03,AG-659,15550,14104,2333,1550,2233.72,10221,6875.24
AF-701045,LN-501045,2024-10-16,AG-657,5500,4680,1613,549,1532.13,2518,1342.55
AF-701046,LN-501046,2024-10-20,AG-626,10000,8997,2038,4240,1856.32,2719,755.06
AF-701047,LN-501047,2024-10-15,AG-625,4200,3735,1548,1059,1431.38,1128,-219.48
AF-701048,LN-501048,2024-10-04,AG-626,10700,9509,2102,4333,1903.92,3074,587.44
AF-701049,LN-501049,2024-09-29,AG-621,16200,13976,2356,10182,2277.92,1438,-1549.53
AF-701050,LN-501050,2024-10-04,AG-656,12500,11268,1902,2624,2026.32,6742,4369.8
AF-701051,LN-501051,2024-10-02,AG-648,31050,27319,3619,6276,3267.89,17424,13372.27
AF-701052,LN-501052,2024-10-25,AG-608,26050,23442,3189,8900,2922.39,11353,8005.6
AF-701053,LN-501053,2024-10-18,AG-616,8500,7311,1959,799,1754.32,4553,3188.19
AF-701054,LN-501054,2024-10-23,AG-619,13800,11411,2132,385,2114.72,8894,5967.05
AF-701055,LN-501055,2024-10-18,AG-613,23400,19983,2815,9585,2767.52,"7,583.00",4251.46
AF-701056,LN-501056,2024-09-30,AG-619,20200,16679,2818,7734,2549.92,6127,3693.16
AF-701057,LN-501057,2024-10-25,AG-605,9500,7855,1694,1108,1822.32,5053,4052.49
AF-701058,LN-501058,2024-10-21,AG-607,24400,20781,2861,2606,2835.52,15314,11996.28
AF-701059,LN-501059,2024-10-25,AG-649,15750,13690,2485,3510,2247.32,7695,4805.73
AF-701060,LN-501060,2024-10-20,AG-632,7500,6717,1651,1769,1686.32,"3,297.00",-128.76
AF-701061,LN-501061,2024-09-30,AG-637,13400,12255,1982,5427,2087.52,4846,2782.35
AF-701062,LN-501062,2024-09-30,AG-642,22000,20129,2962,8300,2672.32,8867,3251.95
AF-701063,LN-501063,2024-10-25,AG-657,11250,9533,2006,3421,1941.32,4106,-4264.19
AF-701064,LN-501064,2024-10-26,AG-661,7700,6519,1902,3552,1699.92,1065,-1644.23
AF-701065,LN-501065,2024-10-05,AG-652,12100,10194,2148,3001,1999.12,5045,2676.29
AF-701066,LN-501066,2024-10-22,AG-631,6350,5490,1660,2526,1608.12,1304,372.44
AF-701067,LN-501067,2024-10-10,AG-661,20150,17666,2808,2029,2546.52,12829,2550.46
AF-701068,LN-501068,2024-10-14,AG-634,14800,12828,2323,5415,2182.72,5090,-498.16
AF-701069,LN-501069,2024-10-19,AG-630,7200,5907,1687,646,1665.92,3574,2343.27
AF-701070,LN-501070,2024-10-01,AG-653,10350,8503,1920,3183,1880.12,"3,400.00",2020.33
AF-701071,LN-501071,2024-10-16,AG-626,24150,20005,2740,6320,2818.52,10945,8433.96
AF-701072,LN-501072,2024-10-19,AG-648,9650,8323,1701,4995,1832.52,1627,-892.22
AF-701073,LN-501073,2024-10-13,AG-643,6950,5828,1615,2923,1648.92,1290,741.38
AF-701074,LN-501074,2024-09-30,AG-651,13550,12177,1940,6717,2097.72,3520,1008.96
AF-701075,LN-501075,2024-10-13,AG-662,8250,7337,1663,2932,1737.32,2742,-3097.76
AF-701076,LN-501076,2024-10-26,AG-613,5250,4314,1681,3062,1512.76,-429,-4041.98
AF-701077,LN-501077,2024-10-02,AG-624,19450,16827,2380,4272,2498.92,10175,6180.04
AF-701078,LN-501078,2024-10-09,AG-631,11400,10091,2083,2531,1951.52,5477,3313.98
AF-701079,LN-501079,2024-10-27,AG-609,18850,16078,2652,0,2458.12,13426,9347.04
AF-701080,LN-501080,2024-10-23,AG-628,5850,5239,1639,1938,1559.26,1662,-1090.46
AF-701081,LN-501081,2024-10-28,AG-608,9650,8601,1792,2312,1832.52,4497,2816.12
AF-701082,LN-501082,2024-10-10,AG-604,9050,7443,1946,2245,1791.72,3252,15.7
AF-701083,LN-501083,2024-10-04,AG-631,7450,6304,1582,2786,1682.92,1936,1283.64
AF-701084,LN-501084,2024-10-16,AG-653,17800,15713,2499,4818,2386.72,8396,4344.27
AF-701085,LN-501085,2024-10-17,AG-614,9650,8013,1788,987,1832.52,5238,2029.34
AF-701086,LN-501086,2024-09-30,AG-661,5200,4752,1405,2024,1508.88,1323,534.13
AF-701087,LN-501087,2024-10-22,AG-640,11700,10596,2125,0,1971.92,"8,471.00",5012.49
AF-701088,LN-501088,2024-10-11,AG-652,7550,6271,1780,2117,1689.72,2374,887.7
AF-701089,LN-501089,2024-10-26,AG-636,10650,9435,1897,4486,1900.52,3052,4.32
AF-701090,LN-501090,2024-10-03,AG-652,5650,4641,1655,216,1543.76,2770,2060.16
AF-701091,LN-501091,2024-10-07,AG-646,7050,6426,1780,2431,1655.72,2215,756.41
