activity_id,loan_id,activity_date,channel,outcome,cost_zar,arrears_bucket_at_time
CA-803678,LN-503872,2025-08-13,SMS,Left message,1.15,31-60
CA-803679,LN-503873,2025-08-28,SMS,Left message,1.3,1-30
CA-803680,LN-503874,2025-08-13,Call,Number unobtainable,26.23,31-60
CA-803681,LN-503874,2025-08-14,Call,Left message,24.52,31-60
CA-803682,LN-503876,2025-08-17,SMS,No answer,1.33,31-60
CA-803683,LN-503876,2025-08-14,SMS,Number unobtainable,1.31,31-60
CA-803684,LN-503886,2025-08-27,Letter,Refused,48.7,61-90
CA-803685,LN-503886,2025-08-10,Letter,Refused,45.17,61-90
CA-803686,LN-503901,2025-08-28,Letter,Left message,46.44,61-90
CA-803687,LN-503901,2025-08-07,Call,Left message,25.71,61-90
CA-803688,LN-503909,2025-08-23,Call,Left message,28.26,1-30
CA-803689,LN-503911,2025-08-06,Call,Partial payment,29.89,61-90
CA-803690,LN-503911,2025-08-26,Field,Left message,364.45,61-90
CA-803691,LN-503911,2025-08-26,Field,Partial payment,304.14,61-90
CA-803692,LN-503915,2025-08-29,Field,Refused,330.64,61-90
CA-803693,LN-503915,2025-08-21,Call,Number unobtainable,27.01,61-90
CA-803694,LN-503923,2025-08-23,Call,Number unobtainable,26.67,61-90
CA-803695,LN-503923,2025-08-16,Letter,Number unobtainable,44.7,61-90
CA-803696,LN-503926,2025-08-25,Call,Left message,25.36,61-90
CA-803697,LN-503926,2025-08-19,Letter,Refused,42.43,61-90
CA-803698,LN-503928,2025-08-13,SMS,Left message,1.38,31-60
CA-803699,LN-503928,2025-08-23,Call,Left message,30.18,31-60
CA-803700,LN-503940,2025-08-09,Call,Paid in full,30.9,90+
CA-803701,LN-503940,2025-08-29,Call,Number unobtainable,28.73,90+
CA-803702,LN-503940,2025-08-26,Call,Promise to pay,29.97,90+
CA-803703,LN-503940,2025-08-08,Field,Paid in full,344.41,90+
CA-803704,LN-503947,2025-08-12,Call,Refused,30.2,61-90
CA-803705,LN-503947,2025-08-29,Field,No answer,300.03,61-90
CA-803706,LN-503947,2025-08-12,Field,Paid in full,310.1,61-90
CA-803707,LN-503968,2025-08-09,SMS,Refused,1.35,1-30
CA-803708,LN-503970,2025-08-22,Letter,No answer,44.78,61-90
CA-803709,LN-503978,2025-08-22,Call,Refused,28.72,90+
CA-803710,LN-503978,2025-08-09,Field,Refused,299.62,90+
CA-803711,LN-503978,2025-08-25,Letter,Number unobtainable,41.36,90+
CA-803712,LN-503981,2025-08-15,SMS,Refused,1.23,1-30
CA-803713,LN-503986,2025-08-13,SMS,Refused,1.06,1-30
CA-803714,LN-503989,2025-08-23,SMS,Number unobtainable,1.05,31-60
CA-803715,LN-503989,2025-08-24,SMS,No answer,1.3,31-60
CA-803716,LN-503998,2025-08-26,Field,Paid in full,289.02,61-90
CA-803717,LN-503998,2025-08-15,Field,Partial payment,317.18,61-90
CA-803718,LN-503998,2025-08-21,Call,Paid in full,26.09,61-90
CA-803719,LN-504008,2025-08-07,Field,Promise to pay,314.71,61-90
CA-803720,LN-504008,2025-08-06,Call,Left message,24.75,61-90
CA-803721,LN-504008,2025-08-17,Letter,Left message,37.89,61-90
CA-803722,LN-504026,2025-08-09,Call,Number unobtainable,26.84,90+
CA-803723,LN-504026,2025-08-31,Call,Paid in full,29.74,90+
CA-803724,LN-504026,2025-08-26,Call,Number unobtainable,26.82,90+
CA-803725,LN-504026,2025-08-12,Field,Partial payment,306.53,90+
CA-803726,LN-504042,2025-08-11,Field,Promise to pay,313.2,61-90
CA-803727,LN-504042,2025-08-15,Field,Left message,240.92,61-90
CA-803728,LN-504042,2025-08-07,Field,Number unobtainable,328.38,61-90
CA-803729,LN-504048,2025-08-10,Call,Left message,24.39,61-90
CA-803730,LN-504060,2025-08-31,SMS,Refused,1.29,31-60
CA-803731,LN-504063,2025-08-19,Call,Left message,29.9,1-30
CA-803732,LN-504070,2025-08-26,Call,Refused,27.2,1-30
CA-803733,LN-504112,2025-08-18,Field,Number unobtainable,313.5,61-90
CA-803734,LN-504126,2025-08-16,SMS,Left message,1.09,31-60
CA-803735,LN-504126,2025-08-17,Call,No answer,30.59,31-60
CA-803736,LN-504128,2025-08-19,Call,Left message,31.9,90+
CA-803737,LN-504128,2025-08-08,Letter,Refused,44.58,90+
CA-803738,LN-504128,2025-08-08,Field,Number unobtainable,333.44,90+
CA-803739,LN-504128,2025-08-07,Field,Promise to pay,353.54,90+
CA-803740,LN-504128,2025-08-14,Call,Paid in full,34.2,90+
CA-803741,LN-504130,2025-08-28,Call,Promise to pay,33.35,1-30
CA-803742,LN-504140,2025-08-19,SMS,Number unobtainable,1.17,31-60
CA-803743,LN-504140,2025-08-09,SMS,Promise to pay,1.25,31-60
CA-803744,LN-504143,2025-08-21,Call,Refused,26.72,31-60
CA-803745,LN-504168,2025-08-28,Letter,Number unobtainable,41.54,61-90
CA-803746,LN-504168,2025-08-09,Field,Promise to pay,293.4,61-90
CA-803747,LN-504168,2025-08-18,Call,Promise to pay,26.73,61-90
CA-803748,LN-504175,2025-08-25,Call,Left message,24.88,90+
CA-803749,LN-504175,2025-08-06,Call,Refused,26.01,90+
CA-803750,LN-504180,2025-08-26,Field,Promise to pay,332.3,90+
CA-803751,LN-504180,2025-08-11,Field,Number unobtainable,296.09,90+
CA-803752,LN-504180,2025-08-13,Field,Left message,307.81,90+
CA-803753,LN-504202,2025-08-21,Letter,Refused,43.68,90+
CA-803754,LN-504202,2025-08-06,Field,Left message,361.51,90+
CA-803755,LN-504202,2025-08-25,Letter,Refused,38.52,90+
CA-803756,LN-504205,2025-08-18,Call,Paid in full,30.58,61-90
CA-803757,LN-504225,2025-08-19,Call,Left message,28.5,31-60
CA-803758,LN-504245,2025-08-31,Letter,Left message,50.29,61-90
CA-803759,LN-504245,2025-08-09,Letter,Left message,50.32,61-90
CA-803760,LN-504245,2025-08-18,Call,No answer,22.48,61-90
CA-803761,LN-504260,2025-08-19,Letter,No answer,48.58,61-90
CA-803762,LN-504260,2025-08-22,Call,Promise to pay,28.74,61-90
CA-803763,LN-504290,2025-08-21,Field,Left message,347.77,90+
CA-803764,LN-504290,2025-08-29,Letter,No answer,47.6,90+
CA-803765,LN-504303,2025-08-15,SMS,Left message,1.29,31-60
CA-803766,LN-504314,2025-08-22,Call,Partial payment,32.13,61-90
CA-803767,LN-504314,2025-08-25,Field,No answer,313.23,61-90
CA-803768,LN-504314,2025-08-09,Letter,Left message,49.9,61-90
CA-803769,LN-504322,2025-08-15,SMS,Left message,1.23,31-60
CA-803770,LN-504322,2025-08-13,Call,Refused,26.93,31-60
CA-803771,LN-504325,2025-08-06,SMS,Number unobtainable,1.27,31-60
CA-803772,LN-504325,2025-08-23,SMS,Promise to pay,1.25,31-60
CA-803773,LN-504326,2025-08-15,SMS,Number unobtainable,1.23,1-30
CA-803774,LN-504330,2025-08-27,Letter,No answer,40.83,90+
CA-803775,LN-504330,2025-08-14,Call,Refused,23.36,90+
CA-803776,LN-504335,2025-08-26,SMS,Number unobtainable,1.02,1-30
CA-803777,LN-504343,2025-08-07,SMS,No answer,1.19,1-30
CA-803778,LN-504350,2025-08-11,Letter,Refused,45.8,90+
CA-803779,LN-504350,2025-08-16,Call,No answer,27.53,90+
CA-803780,LN-504350,2025-08-15,Call,No answer,30.93,90+
CA-803781,LN-504350,2025-08-30,Call,Partial payment,28.49,90+
CA-803782,LN-504350,2025-08-11,Letter,Number unobtainable,46.07,90+
CA-803783,LN-504367,2025-08-09,SMS,Number unobtainable,1.22,31-60
CA-803784,LN-504367,2025-08-16,SMS,Number unobtainable,1.23,31-60
CA-803785,LN-504375,2025-08-25,Call,Refused,31.01,61-90
CA-803786,LN-504375,2025-08-29,Letter,Left message,48.16,61-90
CA-803787,LN-504381,2025-08-25,SMS,No answer,1.11,1-30
CA-803788,LN-504412,2025-08-22,SMS,Refused,1.2,31-60
CA-803789,LN-504416,2025-08-29,Call,Refused,26.38,1-30
CA-803790,LN-504421,2025-08-30,SMS,Number unobtainable,1.09,1-30
CA-803791,LN-504422,2025-08-07,Call,Refused,31.97,1-30
CA-803792,LN-504440,2025-08-12,Letter,Refused,45.34,90+
CA-803793,LN-504440,2025-08-23,Field,Number unobtainable,287.03,90+
CA-803794,LN-504443,2025-08-31,SMS,Left message,1.16,1-30
CA-803795,LN-504448,2025-08-20,Call,Left message,30.64,61-90
CA-803796,LN-504448,2025-08-13,Letter,Left message,49.89,61-90
CA-803797,LN-504448,2025-08-27,Letter,Left message,44.01,61-90
CA-803798,LN-504452,2025-08-21,SMS,Refused,1.05,31-60
CA-803799,LN-504452,2025-08-19,Call,Promise to pay,26.85,31-60
CA-803800,LN-504509,2025-08-12,Call,No answer,26.42,31-60
CA-803801,LN-504517,2025-08-12,Call,Promise to pay,29.89,90+
CA-803802,LN-504517,2025-08-15,Letter,Number unobtainable,47.12,90+
CA-803803,LN-504517,2025-08-18,Field,Left message,347.59,90+
CA-803804,LN-504517,2025-08-08,Letter,Left message,47.5,90+
CA-803805,LN-504518,2025-08-29,SMS,No answer,1.17,31-60
CA-803806,LN-504518,2025-08-23,SMS,No answer,1.44,31-60
CA-803807,LN-504519,2025-08-18,Call,Left message,29.63,90+
CA-803808,LN-504519,2025-08-30,Letter,Left message,44.67,90+
CA-803809,LN-504528,2025-08-09,Field,Paid in full,305.93,61-90
CA-803810,LN-504528,2025-08-15,Letter,Number unobtainable,45.27,61-90
CA-803811,LN-504528,2025-08-25,Letter,Partial payment,47.37,61-90
CA-803812,LN-504541,2025-08-17,Field,Paid in full,299.6,61-90
CA-803813,LN-504541,2025-08-27,Call,Refused,27.84,61-90
CA-803814,LN-504562,2025-08-19,SMS,Refused,1.16,1-30
CA-803815,LN-504578,2025-08-18,Field,Number unobtainable,303.25,61-90
CA-803816,LN-504581,2025-08-08,Call,Paid in full,29.61,61-90
CA-803817,LN-504581,2025-08-13,Call,Partial payment,24.24,61-90
CA-803818,LN-504603,2025-08-08,Call,Left message,26.77,1-30
CA-803819,LN-504606,2025-08-10,SMS,Left message,1.21,1-30
CA-803820,LN-504617,2025-08-23,SMS,No answer,1.11,1-30
CA-803821,LN-504622,2025-08-22,Call,Number unobtainable,26.39,90+
CA-803822,LN-504622,2025-08-14,Field,Number unobtainable,324.55,90+
CA-803823,LN-504622,2025-08-10,Field,Refused,311.28,90+
CA-803824,LN-504622,2025-08-08,Letter,No answer,45.94,90+
CA-803825,LN-504622,2025-08-12,Field,Refused,342.27,90+
CA-803826,LN-504628,2025-08-06,Call,Refused,31.21,61-90
CA-803827,LN-504628,2025-08-30,Field,Left message,383.06,61-90
CA-803828,LN-504639,2025-08-13,SMS,Number unobtainable,1.38,1-30
CA-803829,LN-504645,2025-08-25,SMS,Number unobtainable,1.23,31-60
CA-803830,LN-504645,2025-08-09,SMS,Left message,1.13,31-60
CA-803831,LN-504655,2025-08-15,Field,Refused,325.18,61-90
CA-803832,LN-504655,2025-08-29,Letter,No answer,37.58,61-90
CA-803833,LN-504655,2025-08-23,Field,Number unobtainable,322.56,61-90
CA-803834,LN-504656,2025-08-17,SMS,No answer,1.3,31-60
CA-803835,LN-504656,2025-08-09,SMS,Left message,1.09,31-60
CA-803836,LN-504660,2025-08-19,SMS,Number unobtainable,1.19,31-60
CA-803837,LN-504660,2025-08-28,SMS,Number unobtainable,1,31-60
CA-803838,LN-504673,2025-08-11,Letter,Promise to pay,50.67,61-90
CA-803839,LN-504673,2025-08-09,Call,No answer,24.15,61-90
CA-803840,LN-504677,2025-08-31,Call,Left message,25.29,61-90
CA-803841,LN-504677,2025-08-23,Call,No answer,26.4,61-90
CA-803842,LN-504677,2025-08-18,Field,Number unobtainable,313.34,61-90
CA-803843,LN-504681,2025-08-30,Call,Refused,29.22,90+
CA-803844,LN-504681,2025-08-06,Call,Promise to pay,27.36,90+
CA-803845,LN-504681,2025-08-06,Field,No answer,302.83,90+
CA-803846,LN-504686,2025-08-17,Call,Number unobtainable,27.15,61-90
CA-803847,LN-504686,2025-08-17,Letter,No answer,46.47,61-90
CA-803848,LN-504688,2025-08-16,Field,Left message,307.63,61-90
CA-803849,LN-504708,2025-08-28,Call,Number unobtainable,30.1,1-30
CA-803850,LN-504719,2025-08-13,Field,Partial payment,311.14,61-90
CA-803851,LN-504719,2025-08-11,Call,No answer,23.63,61-90
CA-803852,LN-504781,2025-08-26,SMS,Number unobtainable,1.18,31-60
CA-803853,LN-504788,2025-08-18,Letter,Number unobtainable,49.39,90+
CA-803854,LN-504788,2025-08-08,Field,Refused,281.38,90+
CA-803855,LN-504788,2025-08-26,Call,Number unobtainable,26.76,90+
CA-803856,LN-504788,2025-08-11,Call,Left message,28.61,90+
CA-803857,LN-504788,2025-08-31,Call,No answer,29.4,90+
CA-803858,LN-504820,2025-08-19,Field,No answer,303.28,61-90
CA-803859,LN-504820,2025-08-21,Field,Partial payment,324.18,61-90
CA-803860,LN-504836,2025-08-12,Letter,Refused,50.84,90+
CA-803861,LN-504836,2025-08-19,Call,Refused,28.96,90+
CA-803862,LN-504879,2025-08-22,SMS,Refused,1.28,1-30
CA-803863,LN-504886,2025-08-10,Call,Refused,27.28,61-90
CA-803864,LN-504886,2025-08-24,Field,No answer,280.46,61-90
CA-803865,LN-504903,2025-08-06,Call,Refused,25.81,1-30
CA-803866,LN-504907,2025-08-30,Call,Left message,27.5,61-90
CA-803867,LN-504918,2025-08-16,Call,Partial payment,27.82,1-30
CA-803868,LN-504920,2025-08-23,SMS,Left message,1.08,1-30
CA-803869,LN-504926,2025-08-08,SMS,Number unobtainable,1.12,1-30
CA-803870,LN-504933,2025-08-20,SMS,No answer,1.38,1-30
CA-803871,LN-504982,2025-08-09,Call,Promise to pay,29,61-90
CA-803872,LN-504982,2025-08-27,Field,Left message,294.17,61-90
CA-803873,LN-504982,2025-08-30,Letter,Promise to pay,47.51,61-90
CA-803874,LN-504985,2025-08-25,Letter,Refused,44.07,90+
CA-803875,LN-504985,2025-08-09,Call,Refused,27.72,90+
CA-803876,LN-504985,2025-08-17,Call,Refused,27.77,90+
CA-803877,LN-504992,2025-08-15,Call,Refused,27.44,61-90
CA-803878,LN-505006,2025-08-21,SMS,Left message,1.09,1-30
CA-803879,LN-505011,2025-08-19,SMS,No answer,1.07,1-30
CA-803880,LN-505032,2025-08-24,SMS,No answer,1.34,1-30
CA-803881,LN-505035,2025-08-21,Call,No answer,27.8,31-60
CA-803882,LN-505035,2025-08-18,SMS,Number unobtainable,1.1,31-60
CA-803883,LN-505038,2025-08-24,Letter,Refused,49.03,90+
CA-803884,LN-505038,2025-08-16,Call,No answer,29.16,90+
CA-803885,LN-505038,2025-08-24,Field,Paid in full,289.26,90+
CA-803886,LN-505038,2025-08-28,Call,Refused,31.7,90+
CA-803887,LN-505038,2025-08-08,Call,Number unobtainable,26.44,90+
CA-803888,LN-505041,2025-08-14,Letter,Refused,43.09,61-90
CA-803889,LN-505041,2025-08-17,Field,Partial payment,326.1,61-90
CA-803890,LN-505041,2025-08-13,Field,Promise to pay,301.89,61-90
CA-803891,LN-505046,2025-08-31,SMS,Left message,1.15,1-30
CA-803892,LN-505057,2025-08-30,Letter,Refused,46.24,90+
CA-803893,LN-505057,2025-08-07,Field,Left message,315.76,90+
CA-803894,LN-505057,2025-08-22,Call,Refused,28.19,90+
CA-803895,LN-505057,2025-08-10,Call,Refused,28.26,90+
CA-803896,LN-505065,2025-08-31,Call,Partial payment,28.42,31-60
CA-803897,LN-505065,2025-08-07,SMS,Left message,1.27,31-60
CA-803898,LN-505092,2025-08-17,Call,No answer,28.27,31-60
CA-803899,LN-505092,2025-08-12,SMS,No answer,1.21,31-60
CA-803900,LN-505106,2025-08-12,SMS,Number unobtainable,1.09,1-30
CA-803901,LN-505119,2025-08-25,SMS,Left message,1.38,1-30
CA-803902,LN-505147,2025-08-11,Letter,No answer,47.16,90+
CA-803903,LN-505147,2025-08-10,Field,Refused,315.23,90+
CA-803904,LN-505147,2025-08-22,Call,Paid in full,28.73,90+
CA-803905,LN-505148,2025-08-26,Field,No answer,321.75,61-90
CA-803906,LN-505148,2025-08-20,Field,Number unobtainable,304.33,61-90
CA-803907,LN-505148,2025-08-13,Letter,Partial payment,45.46,61-90
CA-803908,LN-505169,2025-08-15,Call,Number unobtainable,25.37,1-30
CA-803909,LN-505186,2025-08-08,Call,Promise to pay,24.42,31-60
CA-803910,LN-505207,2025-08-17,Field,Left message,394.12,61-90
CA-803911,LN-505207,2025-08-17,Call,Refused,28.2,61-90
CA-803912,LN-505221,2025-08-21,Call,Refused,30.06,90+
CA-803913,LN-505221,2025-08-17,Field,Refused,306.85,90+
CA-803914,LN-505221,2025-08-17,Letter,Refused,44.96,90+
CA-803915,LN-505221,2025-08-08,Field,Number unobtainable,325.05,90+
CA-803916,LN-505230,2025-08-31,Call,Refused,26.94,31-60
CA-803917,LN-505250,2025-08-18,Call,Partial payment,26.83,31-60
CA-803918,LN-505250,2025-08-08,Call,No answer,31.25,31-60
CA-803919,LN-505272,2025-08-27,Call,Left message,30.19,90+
CA-803920,LN-505272,2025-08-22,Field,Number unobtainable,309.75,90+
CA-803921,LN-505272,2025-08-07,Field,Paid in full,289.7,90+
CA-803922,LN-505272,2025-08-31,Call,Refused,29.33,90+
CA-803923,LN-505272,2025-08-29,Letter,Promise to pay,39.04,90+
CA-803924,LN-505274,2025-08-27,Call,Promise to pay,28.99,31-60
CA-803925,LN-505274,2025-08-31,SMS,No answer,1.26,31-60
CA-803926,LN-505287,2025-08-26,Call,Promise to pay,29.67,61-90
CA-803927,LN-505326,2025-08-15,Call,Left message,30.09,90+
CA-803928,LN-505326,2025-08-22,Field,Refused,301.13,90+
CA-803929,LN-505326,2025-08-19,Call,No answer,25.86,90+
CA-803930,LN-505337,2025-08-06,SMS,Left message,1.26,31-60
CA-803931,LN-505343,2025-08-25,SMS,Refused,1.33,31-60
CA-803932,LN-505343,2025-08-07,Call,Left message,27.47,31-60
CA-803933,LN-505354,2025-08-11,Call,Number unobtainable,31.47,1-30
CA-803934,LN-505358,2025-08-26,Call,Partial payment,32.78,31-60
CA-803935,LN-505358,2025-08-10,Call,Left message,27.39,31-60
CA-803936,LN-505360,2025-08-10,Letter,Number unobtainable,42.28,90+
CA-803937,LN-505360,2025-08-09,Call,Left message,30.4,90+
CA-803938,LN-505370,2025-08-15,SMS,Left message,0.98,1-30
CA-803939,LN-505374,2025-08-28,Letter,Left message,46.82,90+
CA-803940,LN-505374,2025-08-18,Field,Paid in full,316.27,90+
CA-803941,LN-505374,2025-08-16,Call,Left message,25.3,90+
CA-803942,LN-505374,2025-08-29,Call,Number unobtainable,26.99,90+
CA-803943,LN-505419,2025-08-29,SMS,Left message,1.25,31-60
CA-803944,LN-505419,2025-08-23,SMS,Left message,1.23,31-60
CA-803945,LN-505423,2025-08-22,Field,Promise to pay,312.63,90+
CA-803946,LN-505423,2025-08-15,Letter,Promise to pay,42.97,90+
CA-803947,LN-505438,2025-08-17,Call,No answer,29.48,90+
CA-803948,LN-505438,2025-08-21,Letter,No answer,47.44,90+
CA-803949,LN-505438,2025-08-23,Field,Promise to pay,330.4,90+
CA-803950,LN-505474,2025-08-24,SMS,Number unobtainable,1.19,1-30
CA-803951,LN-505491,2025-08-19,Call,Number unobtainable,30.48,1-30
CA-803952,LN-505523,2025-08-22,Field,No answer,259.3,61-90
CA-803953,LN-505523,2025-08-28,Field,Number unobtainable,294.31,61-90
CA-803954,LN-505523,2025-08-11,Letter,Refused,48.16,61-90
CA-803955,LN-505531,2025-08-31,Field,Partial payment,312.21,90+
CA-803956,LN-505531,2025-08-18,Call,Paid in full,24.04,90+
CA-803957,LN-505542,2025-08-25,Call,Partial payment,24.71,31-60
CA-803958,LN-505552,2025-08-15,Call,Left message,30.86,61-90
CA-803959,LN-505553,2025-08-16,Call,Paid in full,25.99,1-30
CA-803960,LN-505563,2025-08-19,SMS,Number unobtainable,1.13,1-30
CA-803961,LN-505575,2025-08-16,SMS,Paid in full,1.16,31-60
CA-803962,LN-505626,2025-08-22,Call,Refused,26.48,1-30
CA-803963,LN-505628,2025-08-26,Call,Paid in full,31.32,1-30
CA-803964,LN-505643,2025-08-20,SMS,Refused,1.14,1-30
CA-803965,LN-505650,2025-08-09,Call,Promise to pay,25.33,61-90
CA-803966,LN-505654,2025-08-14,SMS,Refused,1.18,31-60
CA-803967,LN-505654,2025-08-16,SMS,No answer,1.38,31-60
CA-803968,LN-505682,2025-08-18,Call,Promise to pay,26.76,31-60
CA-803969,LN-505682,2025-08-29,SMS,Number unobtainable,1.25,31-60
CA-803970,LN-505685,2025-08-07,Call,Promise to pay,32.64,61-90
CA-803971,LN-505706,2025-08-30,SMS,Left message,1.03,1-30
CA-803972,LN-505715,2025-08-06,Call,Refused,26.77,61-90
CA-803973,LN-505715,2025-08-22,Field,Refused,393.68,61-90
CA-803974,LN-505715,2025-08-31,Field,Number unobtainable,334.24,61-90
CA-803975,LN-505725,2025-08-23,SMS,Left message,1.01,31-60
CA-803976,LN-505728,2025-08-14,SMS,Promise to pay,1.23,1-30
CA-803977,LN-505745,2025-08-13,Letter,Number unobtainable,44.18,61-90
CA-803978,LN-505745,2025-08-23,Letter,No answer,45.73,61-90
CA-803979,LN-505745,2025-08-11,Call,Refused,30.18,61-90
CA-803980,LN-505752,2025-08-23,SMS,Refused,1.36,31-60
CA-803981,LN-505752,2025-08-08,SMS,Left message,1.09,31-60
CA-803982,LN-505758,2025-08-17,Letter,No answer,48.56,61-90
CA-803983,LN-505758,2025-08-18,Call,Left message,24.57,61-90
CA-803984,LN-505763,2025-08-09,SMS,Number unobtainable,1.21,31-60
CA-803985,LN-505776,2025-08-06,Call,No answer,31.97,61-90
CA-803986,LN-505776,2025-08-27,Field,Left message,347.87,61-90
CA-803987,LN-505778,2025-08-14,SMS,Left message,1.32,1-30
CA-803988,LN-505779,2025-08-20,Call,Promise to pay,29.31,1-30
CA-803989,LN-505793,2025-08-15,SMS,Refused,1.2,1-30
CA-803990,LN-505812,2025-08-18,SMS,Refused,1.14,31-60
CA-803991,LN-505816,2025-08-24,SMS,No answer,1.11,1-30
CA-803992,LN-505829,2025-08-24,SMS,Refused,1.21,1-30
CA-803993,LN-505836,2025-08-23,SMS,No answer,1.14,31-60
CA-803994,LN-505836,2025-08-11,Call,Refused,28.12,31-60
CA-803995,LN-505841,2025-08-19,Call,Refused,27.19,61-90
CA-803996,LN-505841,2025-08-19,Call,Left message,29.4,61-90
CA-803997,LN-505841,2025-08-20,Call,Refused,29.32,61-90
CA-803998,LN-505859,2025-08-25,Letter,Number unobtainable,49.24,61-90
CA-803999,LN-505863,2025-08-09,SMS,Paid in full,1.2,1-30
CA-804000,LN-505872,2025-08-16,Field,Refused,329.51,61-90
CA-804001,LN-505875,2025-08-21,SMS,No answer,1.25,1-30
CA-804002,LN-505889,2025-08-06,SMS,Refused,1.15,31-60
CA-804003,LN-505889,2025-08-15,SMS,Number unobtainable,1.12,31-60
CA-804004,LN-505900,2025-08-31,Call,Promise to pay,27.96,31-60
CA-804005,LN-505917,2025-08-27,Call,Left message,27.04,61-90
CA-804006,LN-505917,2025-08-09,Letter,Refused,49.76,61-90
CA-804007,LN-505917,2025-08-18,Field,Refused,318.75,61-90
CA-804008,LN-505919,2025-08-24,Field,Paid in full,319.47,61-90
CA-804009,LN-505921,2025-08-15,SMS,No answer,1.18,1-30
CA-804010,LN-505931,2025-08-28,Call,Refused,27.59,31-60
CA-804011,LN-505932,2025-08-19,Call,Left message,25.17,61-90
CA-804012,LN-505951,2025-08-17,Call,No answer,30.27,1-30
CA-804013,LN-505969,2025-08-06,SMS,No answer,1.26,1-30
CA-804014,LN-505972,2025-08-24,SMS,Left message,1.25,1-30
CA-804015,LN-505978,2025-08-09,SMS,Left message,1.19,31-60
CA-804016,LN-505978,2025-08-29,SMS,Number unobtainable,1.25,31-60
CA-804017,LN-505982,2025-08-25,SMS,Left message,1.11,1-30
CA-804018,LN-505983,2025-08-08,SMS,Number unobtainable,1.24,31-60
CA-804019,LN-505995,2025-08-12,Call,Left message,24.49,1-30
CA-804020,LN-506018,2025-08-07,Call,Refused,29.79,1-30
CA-804021,LN-506039,2025-08-09,Letter,Refused,44.04,61-90
CA-804022,LN-506039,2025-08-14,Call,Partial payment,25.17,61-90
CA-804023,LN-506046,2025-08-28,Call,Partial payment,23,61-90
CA-804024,LN-506047,2025-08-15,Letter,Left message,47.21,61-90
CA-804025,LN-506047,2025-08-17,Call,Left message,26.82,61-90
CA-804026,LN-506047,2025-08-31,Call,Paid in full,27.59,61-90
CA-804027,LN-506068,2025-08-07,Call,No answer,29.56,61-90
CA-804028,LN-506086,2025-08-27,Call,Paid in full,26.65,1-30
CA-804029,LN-506117,2025-08-12,Call,Number unobtainable,28.37,1-30
CA-804030,LN-506132,2025-08-06,Letter,Number unobtainable,47.02,61-90
CA-804031,LN-506135,2025-08-20,Call,Number unobtainable,28.45,1-30
CA-804032,LN-506138,2025-08-07,SMS,No answer,1.21,1-30
CA-804033,LN-506180,2025-08-09,Call,Refused,30.05,61-90
CA-804034,LN-506180,2025-08-07,Call,Refused,30.98,61-90
CA-804035,LN-506204,2025-08-25,SMS,No answer,1.38,1-30
CA-804036,LN-506217,2025-08-27,SMS,Left message,1.26,31-60
CA-804037,LN-506227,2025-08-22,SMS,No answer,1.18,31-60
CA-804038,LN-506235,2025-08-19,SMS,Refused,1.21,1-30
CA-804039,LN-506265,2025-08-10,Call,No answer,28.24,61-90
CA-804040,LN-506265,2025-08-07,Letter,No answer,44.38,61-90
CA-804041,LN-506267,2025-08-29,SMS,No answer,1.37,31-60
CA-804042,LN-506267,2025-08-13,SMS,No answer,1.31,31-60
CA-804043,LN-506277,2025-08-09,SMS,Paid in full,1.36,1-30
CA-804044,LN-506293,2025-08-13,SMS,Number unobtainable,1.35,31-60
CA-804045,LN-506294,2025-08-12,SMS,Left message,1.07,31-60
CA-804046,LN-506310,2025-08-29,SMS,No answer,1.17,31-60
CA-804047,LN-506317,2025-08-06,Call,Paid in full,26.02,31-60
CA-804048,LN-506329,2025-08-24,SMS,Number unobtainable,1.2,31-60
CA-804049,LN-506329,2025-08-11,SMS,Number unobtainable,1.14,31-60
CA-804050,LN-506357,2025-08-26,Field,Number unobtainable,324.32,61-90
CA-804051,LN-506359,2025-08-12,Call,Number unobtainable,26.25,1-30
CA-804052,LN-506360,2025-08-30,Call,Refused,25.94,61-90
CA-804053,LN-506365,2025-08-21,Call,No answer,26.43,31-60
CA-804054,LN-506391,2025-08-21,Call,Left message,29.68,1-30
CA-804055,LN-506409,2025-08-20,SMS,Number unobtainable,1.12,1-30
CA-804056,LN-506413,2025-08-23,Call,No answer,28.45,31-60
CA-804057,LN-506413,2025-08-22,SMS,Refused,1.21,31-60
CA-804058,LN-506421,2025-08-09,SMS,Promise to pay,1.15,31-60
CA-804059,LN-506438,2025-08-26,Call,Paid in full,23.41,31-60
CA-804060,LN-506438,2025-08-17,SMS,Number unobtainable,1.2,31-60
CA-804061,LN-506468,2025-08-29,Call,No answer,26.91,31-60
CA-804062,LN-506477,2025-08-17,SMS,Left message,1.04,31-60
CA-804063,LN-506495,2025-08-30,Call,No answer,24.34,1-30
CA-804064,LN-506519,2025-08-12,Call,Left message,27.88,1-30
CA-804065,LN-506523,2025-08-21,Call,Number unobtainable,29.91,1-30
CA-804066,LN-506549,2025-08-10,Call,Number unobtainable,25.39,31-60
CA-804067,LN-506551,2025-08-28,SMS,Number unobtainable,1.09,31-60
CA-804068,LN-506582,2025-08-10,SMS,Number unobtainable,1.16,31-60
CA-804069,LN-506597,2025-08-11,Call,No answer,27.51,31-60
CA-804070,LN-506617,2025-08-12,SMS,Number unobtainable,1.05,1-30
