client_ref,home_branch_code,province,gender,age_band,employment_type,employer_sector,monthly_income_zar,payday_day
CL-102006,SF-JHB,Gauteng,M,35-44,Pensioner,Retail,8450,25
CL-102007,SF-JHB,Gauteng,M,35-44,Government,Education,11550,25
CL-102008,SF-JHB,Gauteng,F,35-44,Permanent,Retail,17800,25
CL-102009,SF-JHB,Gauteng,F,35-44,Permanent,Manufacturing,7500,25
CL-102010,SF-JHB,Gauteng,M,25-34,Permanent,Mining,10450,25
CL-102011,SF-JHB,Gauteng,F,18-24,Permanent,Manufacturing,13200,15
CL-102012,SF-JHB,Gauteng,M,55-64,Contract,Healthcare,6850,25
CL-102013,SF-JHB,Gauteng,F,25-34,Contract,Healthcare,14350,25
CL-102014,SF-JHB,Gauteng,M,45-54,Pensioner,Education,9600,25
CL-102015,SF-JHB,Gauteng,F,35-44,Permanent,Healthcare,5400,25
CL-102016,SF-JHB,Gauteng,M,35-44,Permanent,Transport,13850,23
CL-102017,SF-JHB,Gauteng,F,25-34,Contract,Retail,20450,30
CL-102018,SF-JHB,Gauteng,M,55-64,Permanent,Construction,15250,25
CL-102019,SF-JHB,Gauteng,F,25-34,Permanent,Retail,9850,25
CL-102020,SF-JHB,Gauteng,M,55-64,Permanent,Healthcare,31050,6
CL-102021,SF-JHB,Gauteng,M,25-34,Contract,Security,8650,25
CL-102022,SF-JHB,Gauteng,M,55-64,Permanent,Education,11300,25
CL-102023,SF-JHB,Gauteng,F,45-54,Contract,Public sector,15050,25
CL-102024,SF-JHB,Gauteng,M,45-54,Permanent,Education,19100,30
CL-102025,SF-JHB,Gauteng,F,18-24,Government,Public sector,7450,25
CL-102026,SF-JHB,Gauteng,F,25-34,Permanent,Retail,7600,25
CL-102027,SF-JHB,Gauteng,F,35-44,Contract,Manufacturing,7700,30
CL-102028,SF-JHB,Gauteng,F,18-24,Pensioner,Retail,18800,30
CL-102029,SF-JHB,Gauteng,F,35-44,Permanent,Security,13500,25
CL-102030,SF-JHB,Gauteng,F,35-44,Permanent,Security,11550,25
CL-102031,SF-JHB,Gauteng,F,35-44,Permanent,Public sector,6650,30
CL-102032,SF-JHB,Gauteng,F,55-64,Government,Construction,11100,25
CL-102033,SF-JHB,Gauteng,F,18-24,Permanent,Healthcare,21300,25
CL-102034,SF-JHB,Gauteng,F,18-24,Government,Retail,27550,25
CL-102035,SF-JHB,Gauteng,F,35-44,Government,Security,19750,25
CL-102036,SF-JHB,Gauteng,M,25-34,Permanent,Security,41350,30
CL-102037,SF-JHB,Gauteng,M,35-44,Permanent,Hospitality,23700,30
CL-102038,SF-JHB,Gauteng,M,55-64,Permanent,Education,15950,25
CL-102039,SF-JHB,Gauteng,F,45-54,Government,Transport,19250,25
CL-102040,SF-JHB,Gauteng,M,35-44,Contract,Hospitality,16300,30
CL-102041,SF-JHB,Gauteng,F,35-44,Permanent,Manufacturing,7050,30
CL-102042,SF-JHB,Gauteng,M,18-24,Contract,Public sector,5250,30
CL-102043,SF-JHB,Gauteng,F,25-34,Pensioner,Public sector,17150,25
CL-102044,SF-JHB,Gauteng,F,25-34,Permanent,Manufacturing,11150,25
CL-102045,SF-JHB,Gauteng,M,55-64,Permanent,Education,21600,25
CL-102046,SF-JHB,Gauteng,M,45-54,Permanent,Education,21650,16
CL-102047,SF-JHB,Gauteng,M,25-34,Government,Construction,15250,25
CL-102048,SF-JHB,Gauteng,F,18-24,Permanent,Hospitality,7700,4
CL-102049,SF-JHB,Gauteng,F,18-24,Permanent,Hospitality,13150,25
CL-102050,SF-JHB,Gauteng,M,35-44,Contract,Mining,13650,25
CL-102051,SF-JHB,Gauteng,M,55-64,Permanent,Retail,4550,25
CL-102052,SF-JHB,Gauteng,F,25-34,Permanent,Retail,10850,25
CL-102053,SF-JHB,Gauteng,M,25-34,Contract,Manufacturing,19650,30
CL-102054,SF-JHB,Gauteng,M,35-44,Permanent,Manufacturing,11500,30
CL-102055,SF-JHB,Gauteng,M,55-64,Contract,Education,10950,30
CL-102056,SF-JHB,Gauteng,F,35-44,Pensioner,Education,12850,25
CL-102057,SF-JHB,Gauteng,F,35-44,Permanent,Retail,27150,25
CL-102058,SF-JHB,Gauteng,F,45-54,Government,Construction,11700,30
CL-102059,SF-JHB,Gauteng,F,35-44,Permanent,Security,10150,24
CL-102060,SF-JHB,Gauteng,F,18-24,Permanent,Public sector,9450,2
CL-102061,SF-JHB,Gauteng,F,35-44,Permanent,Retail,8600,25
CL-102062,SF-JHB,Gauteng,M,18-24,Permanent,Mining,7100,30
CL-102063,SF-JHB,Gauteng,F,18-24,Permanent,Retail,13350,22
CL-102064,SF-JHB,Gauteng,F,18-24,Permanent,Manufacturing,11100,30
CL-102065,SF-JHB,Gauteng,M,25-34,Government,Healthcare,6050,19
CL-102066,SF-JHB,Gauteng,M,55-64,Permanent,Mining,13100,25
CL-102067,SF-JHB,Gauteng,F,18-24,Permanent,Mining,9500,25
CL-102068,SF-JHB,Gauteng,M,35-44,Permanent,Retail,13650,25
CL-102069,SF-JHB,Gauteng,F,35-44,Permanent,Transport,41350,25
CL-102070,SF-JHB,Gauteng,F,25-34,Permanent,Public sector,7550,25
CL-102071,SF-JHB,Gauteng,M,45-54,Permanent,Education,19750,25
CL-102072,SF-JHB,Gauteng,F,25-34,Permanent,Retail,9700,25
CL-102073,SF-JHB,Gauteng,F,35-44,Permanent,Education,13500,30
CL-102074,SF-JHB,Gauteng,F,18-24,Permanent,Hospitality,12350,25
CL-102075,SF-JHB,Gauteng,M,25-34,Contract,Mining,10700,22
CL-102076,SF-JHB,Gauteng,F,55-64,Permanent,Mining,14650,25
CL-102077,SF-JHB,Gauteng,F,35-44,Permanent,Security,5250,30
CL-102078,SF-JHB,Gauteng,M,18-24,Permanent,Manufacturing,18350,30
CL-102079,SF-JHB,Gauteng,M,25-34,Permanent,Transport,13350,30
CL-102080,SF-JHB,Gauteng,M,45-54,Permanent,Public sector,9500,30
CL-102081,SF-JHB,Gauteng,F,25-34,Permanent,Hospitality,13050,25
CL-102082,SF-JHB,Gauteng,F,25-34,Permanent,Healthcare,20650,25
CL-102083,SF-JHB,Gauteng,F,25-34,Government,Transport,17750,25
CL-102084,SF-JHB,Gauteng,M,18-24,Permanent,Transport,6900,25
CL-102085,SF-JHB,Gauteng,M,25-34,Pensioner,Public sector,17400,25
CL-102086,SF-JHB,Gauteng,F,45-54,Permanent,Public sector,16150,25
CL-102087,SF-JHB,Gauteng,F,25-34,Permanent,Public sector,7650,25
CL-102088,SF-JHB,Gauteng,M,18-24,Contract,Healthcare,8150,25
CL-102089,SF-JHB,Gauteng,M,45-54,Contract,Public sector,9400,30
CL-102090,SF-JHB,Gauteng,F,25-34,Permanent,Construction,11450,25
CL-102091,SF-JHB,Gauteng,M,35-44,Permanent,Hospitality,10750,25
CL-102092,SF-JHB,Gauteng,F,18-24,Permanent,Mining,20700,25
CL-102093,SF-JHB,Gauteng,F,25-34,Permanent,Construction,12100,30
CL-102094,SF-JHB,Gauteng,F,35-44,Permanent,Education,7850,25
CL-102095,SF-JHB,Gauteng,M,55-64,Permanent,Healthcare,10800,25
CL-102096,SF-JHB,Gauteng,M,18-24,Permanent,Security,12500,25
CL-102097,SF-JHB,Gauteng,M,55-64,Permanent,Retail,12950,25
CL-102098,SF-JHB,Gauteng,M,18-24,Permanent,Mining,13750,25
CL-102099,SF-JHB,Gauteng,M,25-34,Government,Construction,8350,25
CL-102100,SF-JHB,Gauteng,F,25-34,Permanent,Transport,16100,25
CL-102101,SF-JHB,Gauteng,M,35-44,Permanent,Retail,8500,30
CL-102102,SF-JHB,Gauteng,F,35-44,Permanent,Retail,16450,30
CL-102103,SF-JHB,Gauteng,M,35-44,Contract,Healthcare,32550,30
CL-102104,SF-JHB,Gauteng,F,55-64,Permanent,Transport,15500,28
CL-102105,SF-JHB,Gauteng,M,25-34,Permanent,Construction,13900,6
CL-102106,SF-JHB,Gauteng,M,35-44,Contract,Security,11500,25
CL-102107,SF-JHB,Gauteng,F,18-24,Permanent,Transport,27250,25
CL-102108,SF-JHB,Gauteng,F,45-54,Contract,Education,24300,25
CL-102109,SF-JHB,Gauteng,F,45-54,Government,Transport,10150,25
CL-102110,SF-JHB,Gauteng,M,35-44,Permanent,Public sector,9450,25
CL-102111,SF-JHB,Gauteng,M,18-24,Permanent,Security,24850,25
CL-102112,SF-JHB,Gauteng,M,45-54,Permanent,Healthcare,26650,30
CL-102113,SF-JHB,Gauteng,M,25-34,Permanent,Public sector,8250,25
CL-102114,SF-JHB,Gauteng,F,25-34,Contract,Healthcare,10450,25
CL-102115,SF-JHB,Gauteng,F,35-44,Contract,Security,7500,23
CL-102116,SF-JHB,Gauteng,F,55-64,Pensioner,Retail,7000,30
CL-102117,SF-JHB,Gauteng,M,35-44,Permanent,Mining,24450,25
CL-102118,SF-JHB,Gauteng,M,18-24,Permanent,Security,13000,25
CL-102119,SF-JHB,Gauteng,F,25-34,Permanent,Public sector,11650,25
CL-102120,SF-JHB,Gauteng,F,18-24,Permanent,Public sector,13150,25
CL-102121,SF-JHB,Gauteng,M,55-64,Permanent,Transport,5450,30
CL-102122,SF-JHB,Gauteng,F,35-44,Contract,Public sector,10450,30
CL-102123,SF-JHB,Gauteng,M,35-44,Permanent,Manufacturing,7950,30
CL-102124,SF-JHB,Gauteng,F,18-24,Pensioner,Hospitality,11050,30
CL-102125,SF-JHB,Gauteng,M,35-44,Pensioner,Education,11500,25
CL-102126,SF-JHB,Gauteng,F,18-24,Permanent,Mining,6350,25
CL-102127,SF-JHB,Gauteng,F,35-44,Government,Construction,6350,30
CL-102128,SF-JHB,Gauteng,F,55-64,Permanent,Hospitality,8900,25
CL-102129,SF-JHB,Gauteng,F,35-44,Permanent,Manufacturing,5100,10
CL-102130,SF-JHB,Gauteng,F,45-54,Government,Construction,6500,25
CL-102131,SF-JHB,Gauteng,F,25-34,Permanent,Healthcare,7450,25
CL-102132,SF-JHB,Gauteng,F,45-54,Permanent,Manufacturing,13100,21
CL-102133,SF-JHB,Gauteng,F,35-44,Permanent,Manufacturing,6850,25
CL-102134,SF-JHB,Gauteng,M,35-44,Permanent,Public sector,14900,30
CL-102135,SF-JHB,Gauteng,F,25-34,Contract,Manufacturing,10400,25
CL-102136,SF-JHB,Gauteng,F,35-44,Permanent,Healthcare,24900,25
CL-102137,SF-JHB,Gauteng,M,25-34,Contract,Hospitality,6100,25
CL-102138,SF-JHB,Gauteng,F,35-44,Government,Transport,32950,25
CL-102139,SF-JHB,Gauteng,M,35-44,Permanent,Security,8500,30
CL-102140,SF-JHB,Gauteng,F,25-34,Government,Construction,11050,25
CL-102141,SF-JHB,Gauteng,F,35-44,Contract,Education,8900,25
CL-102142,SF-JHB,Gauteng,F,25-34,Permanent,Healthcare,12250,30
CL-102143,SF-JHB,Gauteng,F,55-64,Permanent,Public sector,9050,25
CL-102144,SF-JHB,Gauteng,F,55-64,Permanent,Manufacturing,7550,15
CL-102145,SF-JHB,Gauteng,F,35-44,Contract,Security,7600,25
CL-102146,SF-JHB,Gauteng,M,25-34,Pensioner,Hospitality,10650,25
CL-102147,SF-JHB,Gauteng,F,18-24,Permanent,Hospitality,21250,25
CL-102148,SF-JHB,Gauteng,M,45-54,Contract,Education,15650,30
CL-102149,SF-JHB,Gauteng,M,35-44,Permanent,Construction,10950,25
CL-102150,SF-JHB,Gauteng,F,25-34,Pensioner,Healthcare,21150,30
CL-102151,SF-JHB,Gauteng,F,25-34,Permanent,Security,5900,25
CL-102152,SF-JHB,Gauteng,M,18-24,Permanent,Security,9550,25
CL-102153,SF-JHB,Gauteng,M,35-44,Permanent,Construction,8650,30
CL-102154,SF-JHB,Gauteng,M,25-34,Pensioner,Hospitality,21750,30
CL-102155,SF-JHB,Gauteng,M,25-34,Contract,Manufacturing,11400,25
CL-102156,SF-JHB,Gauteng,M,18-24,Government,Manufacturing,16200,25
CL-102157,SF-JHB,Gauteng,F,25-34,Permanent,Mining,21400,25
CL-102158,SF-JHB,Gauteng,M,35-44,Permanent,Manufacturing,9400,25
CL-102159,SF-JHB,Gauteng,F,45-54,Permanent,Mining,5750,30
CL-102160,SF-JHB,Gauteng,F,25-34,Permanent,Construction,4500,26
CL-102161,SF-JHB,Gauteng,F,45-54,Permanent,Retail,11350,25
CL-102162,SF-JHB,Gauteng,M,25-34,Contract,Education,8750,30
CL-102163,SF-JHB,Gauteng,F,25-34,Permanent,Hospitality,6500,25
CL-102164,SF-JHB,Gauteng,M,35-44,Permanent,Hospitality,8200,30
CL-102165,SF-JHB,Gauteng,M,55-64,Pensioner,Education,6750,25
CL-102166,SF-JHB,Gauteng,F,45-54,Permanent,Construction,12650,25
CL-102167,SF-JHB,Gauteng,F,35-44,Government,Manufacturing,6250,25
CL-102168,SF-JHB,Gauteng,M,25-34,Permanent,Public sector,16050,30
CL-102169,SF-JHB,Gauteng,F,35-44,Government,Manufacturing,10300,18
CL-102170,SF-JHB,Gauteng,F,45-54,Pensioner,Construction,15700,25
CL-102171,SF-JHB,Gauteng,F,55-64,Permanent,Public sector,13300,30
CL-102172,SF-JHB,Gauteng,M,35-44,Contract,Mining,6800,25
CL-102173,SF-JHB,Gauteng,F,55-64,Contract,Education,8600,25
CL-102174,SF-JHB,Gauteng,M,35-44,Permanent,Construction,22850,25
CL-102175,SF-JHB,Gauteng,F,45-54,Contract,Manufacturing,12550,30
CL-102176,SF-JHB,Gauteng,F,35-44,Permanent,Construction,7900,30
CL-102177,SF-JHB,Gauteng,F,25-34,Contract,Hospitality,11800,30
CL-102178,SF-JHB,Gauteng,F,35-44,Permanent,Security,14950,30
CL-102179,SF-JHB,Gauteng,M,18-24,Permanent,Retail,7950,30
CL-102180,SF-JHB,Gauteng,M,18-24,Government,Transport,5500,30
CL-102181,SF-JHB,Gauteng,F,18-24,Contract,Public sector,8950,25
CL-102182,SF-JHB,Gauteng,M,35-44,Permanent,Security,19600,25
CL-102183,SF-JHB,Gauteng,M,25-34,Government,Public sector,19650,25
CL-102184,SF-JHB,Gauteng,M,25-34,Permanent,Education,6050,25
CL-102185,SF-JHB,Gauteng,F,55-64,Permanent,Mining,6000,30
CL-102186,SF-JHB,Gauteng,F,25-34,Permanent,Construction,10050,25
CL-102187,SF-JHB,Gauteng,M,55-64,Contract,Security,16500,30
CL-102188,SF-JHB,Gauteng,F,18-24,Permanent,Security,17050,30
CL-102189,SF-JHB,Gauteng,F,18-24,Contract,Transport,12450,15
CL-102190,SF-JHB,Gauteng,F,25-34,Permanent,Construction,13750,25
CL-102191,SF-JHB,Gauteng,F,18-24,Permanent,Retail,7800,25
CL-102192,SF-JHB,Gauteng,M,35-44,Contract,Mining,9750,25
CL-102193,SF-JHB,Gauteng,M,18-24,Contract,Education,17000,25
CL-102194,SF-JHB,Gauteng,F,35-44,Permanent,Transport,19250,25
CL-102195,SF-JHB,Gauteng,F,25-34,Permanent,Transport,14000,25
CL-102196,SF-JHB,Gauteng,M,18-24,Government,Hospitality,14650,18
CL-102197,SF-JHB,Gauteng,M,18-24,Permanent,Hospitality,20350,25
CL-102198,SF-JHB,Gauteng,F,55-64,Permanent,Retail,9700,25
CL-102199,SF-JHB,Gauteng,M,55-64,Permanent,Manufacturing,16550,11
CL-102200,SF-JHB,Gauteng,M,25-34,Contract,Transport,16700,25
CL-102201,SF-JHB,Gauteng,M,18-24,Permanent,Retail,20200,25
CL-102202,SF-JHB,Gauteng,F,18-24,Permanent,Security,6450,25
CL-102203,SF-JHB,Gauteng,M,25-34,Contract,Healthcare,5700,30
CL-102204,SF-JHB,Gauteng,M,25-34,Contract,Security,11200,30
CL-102205,SF-JHB,Gauteng,F,18-24,Permanent,Security,5300,25
CL-102206,SF-JHB,Gauteng,M,35-44,Government,Transport,13850,25
CL-102207,SF-JHB,Gauteng,F,25-34,Permanent,Transport,10600,30
CL-102208,SF-JHB,Gauteng,F,35-44,Contract,Healthcare,14350,30
CL-102209,SF-JHB,Gauteng,M,18-24,Permanent,Education,23450,25
CL-102210,SF-JHB,Gauteng,M,35-44,Contract,Security,13400,30
CL-102211,SF-JHB,Gauteng,M,55-64,Permanent,Retail,13200,25
CL-102212,SF-JHB,Gauteng,F,55-64,Contract,Retail,4750,30
CL-102213,SF-JHB,Gauteng,F,45-54,Permanent,Manufacturing,13550,30
CL-102214,SF-JHB,Gauteng,M,25-34,Permanent,Public sector,11100,25
CL-102215,SF-JHB,Gauteng,F,45-54,Contract,Security,8700,25
CL-102216,SF-JHB,Gauteng,F,25-34,Permanent,Security,10200,25
CL-102217,SF-JHB,Gauteng,M,45-54,Government,Education,9950,25
CL-102218,SF-JHB,Gauteng,M,25-34,Contract,Mining,36550,30
CL-102219,SF-JHB,Gauteng,M,25-34,Permanent,Healthcare,9250,26
CL-102220,SF-JHB,Gauteng,F,25-34,Government,Hospitality,13350,30
CL-102221,SF-JHB,Gauteng,F,35-44,Permanent,Public sector,14400,30
CL-102222,SF-JHB,Gauteng,F,25-34,Government,Retail,8100,30
CL-102223,SF-JHB,Gauteng,M,25-34,Permanent,Public sector,9700,30
CL-102224,SF-JHB,Gauteng,F,35-44,Permanent,Security,15350,30
CL-102225,SF-JHB,Gauteng,M,55-64,Permanent,Public sector,4850,19
CL-102226,SF-JHB,Gauteng,F,18-24,Permanent,Education,15200,2
CL-102227,SF-JHB,Gauteng,F,45-54,Permanent,Security,7400,30
CL-102228,SF-JHB,Gauteng,M,25-34,Permanent,Construction,21300,30
CL-102229,SF-JHB,Gauteng,M,55-64,Permanent,Hospitality,16200,30
CL-102230,SF-JHB,Gauteng,F,18-24,Permanent,Construction,8750,25
CL-102231,SF-JHB,Gauteng,F,45-54,Permanent,Security,7850,25
CL-102232,SF-JHB,Gauteng,F,18-24,Permanent,Security,6450,25
CL-102233,SF-JHB,Gauteng,M,45-54,Contract,Transport,9100,25
CL-102234,SF-JHB,Gauteng,F,35-44,Permanent,Healthcare,14150,30
CL-102235,SF-JHB,Gauteng,F,35-44,Permanent,Mining,17450,25
CL-102236,SF-JHB,Gauteng,F,25-34,Permanent,Public sector,4200,25
CL-102237,SF-JHB,Gauteng,M,45-54,Permanent,Security,5250,25
CL-102238,SF-JHB,Gauteng,M,18-24,Permanent,Construction,23550,25
CL-102239,SF-JHB,Gauteng,F,25-34,Permanent,Mining,9500,30
CL-102240,SF-JHB,Gauteng,M,35-44,Contract,Mining,8850,30
CL-102241,SF-JHB,Gauteng,M,45-54,Contract,Public sector,10500,30
CL-102242,SF-JHB,Gauteng,F,35-44,Permanent,Hospitality,12300,25
CL-102243,SF-JHB,Gauteng,F,55-64,Contract,Hospitality,4200,30
CL-102244,SF-JHB,Gauteng,M,45-54,Contract,Manufacturing,5100,25
CL-102245,SF-JHB,Gauteng,F,35-44,Permanent,Manufacturing,7200,25
CL-102246,SF-JHB,Gauteng,M,35-44,Permanent,Construction,6350,25
CL-102247,SF-JHB,Gauteng,F,25-34,Permanent,Mining,11050,25
CL-102248,SF-JHB,Gauteng,M,25-34,Permanent,Healthcare,7550,25
CL-102249,SF-JHB,Gauteng,M,25-34,Pensioner,Manufacturing,7550,25
CL-102250,SF-JHB,Gauteng,F,35-44,Permanent,Mining,6650,25
CL-102251,SF-JHB,Gauteng,F,35-44,Permanent,Retail,10450,30
CL-102252,SF-JHB,Gauteng,F,45-54,Government,Education,21200,25
CL-102253,SF-JHB,Gauteng,F,35-44,Pensioner,Healthcare,13300,23
CL-102254,SF-JHB,Gauteng,M,55-64,Permanent,Healthcare,13250,25
CL-102255,SF-JHB,Gauteng,M,18-24,Pensioner,Construction,8900,25
CL-102256,SF-JHB,Gauteng,F,45-54,Contract,Security,13500,25
CL-102257,SF-JHB,Gauteng,M,55-64,Permanent,Public sector,14550,25
CL-102258,SF-JHB,Gauteng,M,35-44,Permanent,Mining,8000,25
CL-102259,SF-JHB,Gauteng,M,45-54,Permanent,Mining,8650,8
CL-102260,SF-JHB,Gauteng,M,35-44,Permanent,Mining,18250,30
CL-102261,SF-JHB,Gauteng,M,35-44,Permanent,Mining,14500,25
CL-102262,SF-JHB,Gauteng,F,25-34,Contract,Security,7050,30
CL-102263,SF-JHB,Gauteng,F,45-54,Pensioner,Construction,12600,25
CL-102264,SF-JHB,Gauteng,M,55-64,Contract,Transport,12050,25
CL-102265,SF-JHB,Gauteng,M,25-34,Pensioner,Construction,9850,9
CL-102266,SF-JHB,Gauteng,M,45-54,Permanent,Transport,13900,22
CL-102267,SF-JHB,Gauteng,F,25-34,Permanent,Security,18950,25
CL-102268,SF-JHB,Gauteng,F,45-54,Contract,Construction,11900,30
CL-102269,SF-JHB,Gauteng,M,25-34,Permanent,Mining,22100,30
CL-102270,SF-JHB,Gauteng,F,45-54,Government,Manufacturing,21550,25
CL-102271,SF-JHB,Gauteng,F,55-64,Contract,Education,6950,25
CL-102272,SF-JHB,Gauteng,M,25-34,Permanent,Security,7250,25
CL-102273,SF-JHB,Gauteng,M,35-44,Permanent,Healthcare,20300,30
CL-102274,SF-JHB,Gauteng,M,18-24,Permanent,Security,6600,30
CL-102275,SF-JHB,Gauteng,M,35-44,Government,Construction,12550,25
CL-102276,SF-JHB,Gauteng,F,45-54,Permanent,Hospitality,7050,25
CL-102277,SF-JHB,Gauteng,M,18-24,Permanent,Retail,16100,25
CL-102278,SF-JHB,Gauteng,M,55-64,Government,Construction,31600,25
CL-102279,SF-JHB,Gauteng,F,35-44,Permanent,Security,15000,25
CL-102280,SF-JHB,Gauteng,M,25-34,Pensioner,Education,15650,30
CL-102281,SF-JHB,Gauteng,F,45-54,Permanent,Construction,17650,25
CL-102282,SF-JHB,Gauteng,F,25-34,Government,Manufacturing,15450,25
CL-102283,SF-JHB,Gauteng,M,18-24,Permanent,Retail,20600,25
CL-102284,SF-JHB,Gauteng,M,25-34,Permanent,Hospitality,21850,25
CL-102285,SF-JHB,Gauteng,M,55-64,Contract,Retail,22800,25
CL-102286,SF-JHB,Gauteng,M,35-44,Contract,Construction,6000,24
CL-102287,SF-JHB,Gauteng,M,35-44,Contract,Education,9500,30
CL-102288,SF-JHB,Gauteng,F,45-54,Permanent,Mining,12150,30
CL-102289,SF-JHB,Gauteng,M,25-34,Permanent,Transport,11550,25
CL-102290,SF-JHB,Gauteng,M,25-34,Permanent,Construction,13850,25
CL-102291,SF-JHB,Gauteng,F,35-44,Permanent,Education,24850,25
CL-102292,SF-JHB,Gauteng,F,55-64,Government,Transport,16250,25
CL-102293,SF-JHB,Gauteng,F,45-54,Permanent,Mining,18300,25
CL-102294,SF-JHB,Gauteng,M,35-44,Pensioner,Hospitality,23500,25
CL-102295,SF-JHB,Gauteng,F,55-64,Permanent,Security,5050,25
CL-102296,SF-JHB,Gauteng,F,25-34,Government,Public sector,7850,25
CL-102297,SF-JHB,Gauteng,M,35-44,Contract,Construction,12250,30
CL-102298,SF-JHB,Gauteng,F,25-34,Permanent,Public sector,18450,25
CL-102299,SF-JHB,Gauteng,F,35-44,Permanent,Transport,8950,25
CL-102300,SF-JHB,Gauteng,F,18-24,Permanent,Construction,5850,25
CL-102301,SF-JHB,Gauteng,F,45-54,Government,Mining,11550,25
CL-102302,SF-JHB,Gauteng,F,18-24,Permanent,Healthcare,4700,25
CL-102303,SF-JHB,Gauteng,M,25-34,Permanent,Retail,9400,25
CL-102304,SF-JHB,Gauteng,M,35-44,Contract,Public sector,10000,30
CL-102305,SF-JHB,Gauteng,F,25-34,Permanent,Mining,17350,6
CL-102306,SF-JHB,Gauteng,F,55-64,Permanent,Manufacturing,8750,25
CL-102307,SF-JHB,Gauteng,F,18-24,Pensioner,Manufacturing,9000,30
CL-102308,SF-JHB,Gauteng,M,18-24,Permanent,Education,7750,25
CL-102309,SF-JHB,Gauteng,M,35-44,Pensioner,Public sector,9750,30
CL-102310,SF-JHB,Gauteng,F,25-34,Permanent,Mining,13900,30
CL-102311,SF-JHB,Gauteng,F,18-24,Permanent,Education,7900,30
CL-102312,SF-JHB,Gauteng,M,18-24,Contract,Hospitality,22150,25
CL-102313,SF-JHB,Gauteng,F,55-64,Permanent,Transport,16600,30
CL-102314,SF-JHB,Gauteng,M,18-24,Government,Mining,17400,30
CL-102315,SF-JHB,Gauteng,F,35-44,Contract,Retail,14600,16
CL-102316,SF-JHB,Gauteng,F,35-44,Permanent,Mining,11100,25
CL-102317,SF-JHB,Gauteng,M,25-34,Government,Public sector,18150,25
CL-102318,SF-JHB,Gauteng,F,25-34,Contract,Education,11450,15
CL-102319,SF-JHB,Gauteng,M,18-24,Permanent,Construction,13300,25
CL-102320,SF-JHB,Gauteng,M,45-54,Permanent,Manufacturing,10400,25
CL-102321,SF-JHB,Gauteng,F,35-44,Government,Hospitality,12200,25
CL-102322,SF-JHB,Gauteng,M,45-54,Contract,Hospitality,12800,30
CL-102323,SF-JHB,Gauteng,M,18-24,Permanent,Security,12100,30
CL-102324,SF-JHB,Gauteng,M,55-64,Permanent,Hospitality,8750,25
CL-102325,SF-JHB,Gauteng,F,45-54,Permanent,Public sector,8500,5
CL-102326,SF-JHB,Gauteng,M,35-44,Contract,Construction,9900,25
CL-102327,SF-JHB,Gauteng,F,25-34,Permanent,Healthcare,12700,28
CL-102328,SF-JHB,Gauteng,M,25-34,Contract,Hospitality,18700,25
CL-102329,SF-JHB,Gauteng,F,18-24,Permanent,Hospitality,20600,30
CL-102330,SF-JHB,Gauteng,F,18-24,Permanent,Manufacturing,6100,30
CL-102331,SF-JHB,Gauteng,F,18-24,Permanent,Hospitality,16750,25
CL-102332,SF-JHB,Gauteng,F,25-34,Contract,Healthcare,17100,25
CL-102333,SF-JHB,Gauteng,F,45-54,Pensioner,Mining,8250,25
CL-102334,SF-JHB,Gauteng,F,35-44,Contract,Security,8950,25
CL-102335,SF-JHB,Gauteng,F,45-54,Permanent,Education,10150,26
CL-102336,SF-JHB,Gauteng,F,18-24,Permanent,Education,24400,25
CL-102337,SF-JHB,Gauteng,F,25-34,Permanent,Manufacturing,12550,25
CL-102338,SF-JHB,Gauteng,M,18-24,Permanent,Transport,20550,30
CL-102339,SF-JHB,Gauteng,M,25-34,Government,Education,27200,30
CL-102340,SF-JHB,Gauteng,M,45-54,Permanent,Retail,8700,30
CL-102341,SF-JHB,Gauteng,M,35-44,Permanent,Education,16700,25
CL-102342,SF-JHB,Gauteng,M,25-34,Permanent,Retail,10550,25
CL-102343,SF-JHB,Gauteng,M,18-24,Government,Education,18050,11
CL-102344,SF-JHB,Gauteng,F,45-54,Permanent,Healthcare,5650,25
CL-102345,SF-JHB,Gauteng,F,35-44,Contract,Transport,9800,25
CL-102346,SF-JHB,Gauteng,F,25-34,Permanent,Construction,15850,25
CL-102347,SF-JHB,Gauteng,F,55-64,Permanent,Education,10200,25
CL-102348,SF-JHB,Gauteng,M,25-34,Permanent,Manufacturing,10500,25
CL-102349,SF-JHB,Gauteng,M,25-34,Government,Hospitality,5800,25
CL-102350,SF-JHB,Gauteng,F,35-44,Permanent,Transport,12250,25
CL-102351,SF-JHB,Gauteng,F,25-34,Permanent,Education,21950,25
CL-102352,SF-JHB,Gauteng,F,25-34,Permanent,Hospitality,6000,25
CL-102353,SF-JHB,Gauteng,F,45-54,Contract,Hospitality,10900,25
CL-102354,SF-JHB,Gauteng,M,35-44,Contract,Security,18450,25
CL-102355,SF-JHB,Gauteng,F,45-54,Permanent,Mining,10950,25
CL-102356,SF-JHB,Gauteng,M,35-44,Permanent,Security,10450,25
CL-102357,SF-JHB,Gauteng,M,18-24,Government,Education,4750,25
CL-102358,SF-JHB,Gauteng,M,45-54,Permanent,Retail,15100,30
CL-102359,SF-JHB,Gauteng,F,55-64,Permanent,Mining,13100,30
CL-102360,SF-JHB,Gauteng,M,25-34,Permanent,Hospitality,9750,11
CL-102361,SF-JHB,Gauteng,F,55-64,Permanent,Construction,13050,25
