maintenance_id,vehicle_id,job_date,job_type,cost_zar,downtime_hours,odometer_km
MNT-300384,VEH-2002,2026-01-31,Repair,10293.35,6.85,827628
MNT-300385,VEH-2079,2026-02-02,Tyres,6852.76,9.05,719038
MNT-300386,VEH-2091,2026-02-04,Tyres,9565.96,8.36,796515
MNT-300387,VEH-2001,2026-02-05,Service,6063.05,15.29,928199
MNT-300388,VEH-2041,2026-02-06,Repair,5169.95,16.78,646206
MNT-300389,VEH-2020,2026-02-07,Repair,19947.42,19.59,651300
MNT-300390,VEH-2113,2026-02-09,Repair,7250.19,4.92,728596
MNT-300391,VEH-2024,2026-02-10,Tyres,8554.76,5.54,979008
MNT-300392,VEH-2063,2026-02-11,Service,10567.28,10.73,627695
MNT-300393,VEH-2103,2026-02-12,Service,4074.47,2.53,465995
MNT-300394,VEH-2107,2026-02-13,Repair,10699.52,14.14,792001
MNT-300395,VEH-2037,2026-02-14,Service,3893.62,1,370661
MNT-300396,VEH-2093,2026-02-16,Repair,21031.29,7.95,759711
MNT-300397,VEH-2006,2026-02-17,Repair,10328.66,13.34,780210
MNT-300398,VEH-2026,2026-02-18,Service,7411.76,6.18,415388
MNT-300399,VEH-2047,2026-02-19,Tyres,3665.66,1,178810
MNT-300400,VEH-2095,2026-02-20,Repair,14563.46,20.89,686422
MNT-300401,VEH-2038,2026-02-21,Repair,7314.33,16.77,538713
MNT-300402,VEH-2105,2026-02-24,Tyres,9058.44,7.37,567089
MNT-300403,VEH-2085,2026-02-26,Service,2168.62,1,319535
MNT-300404,VEH-2119,2026-02-27,Service,2117.48,3.34,697620
MNT-300405,VEH-2041,2026-02-28,Service,3570.91,1,648258
MNT-300406,VEH-2056,2026-03-02,Service,8034.15,2.47,771797
MNT-300407,VEH-2021,2026-03-04,Tyres,8030.91,9.79,585418
MNT-300408,VEH-2074,2026-03-05,Service,7360.2,9,594335
MNT-300409,VEH-2019,2026-03-06,Repair,14635.72,9.32,964910
MNT-300410,VEH-2082,2026-03-07,Repair,3949.48,12.37,292571
MNT-300411,VEH-2054,2026-03-09,Tyres,391.57,13.1,245991
MNT-300412,VEH-2050,2026-03-10,Service,467.63,4.86,507740
MNT-300413,VEH-2082,2026-03-11,Service,1802.84,6.69,292984
MNT-300414,VEH-2079,2026-03-12,Service,3186.37,4.71,722308
MNT-300415,VEH-2072,2026-03-13,Service,7321.15,11.43,937483
MNT-300416,VEH-2066,2026-03-14,Repair,17438.68,11.58,679773
MNT-300417,VEH-2063,2026-03-16,Tyres,8549.26,1,631363
MNT-300418,VEH-2020,2026-03-17,Repair,7991,20.99,662314
MNT-300419,VEH-2063,2026-03-18,Repair,20281.35,2.83,631927
MNT-300420,VEH-2009,2026-03-19,Service,8588.72,9.29,971581
MNT-300421,VEH-2121,2026-03-20,Repair,625.5,6.29,212771
MNT-300422,VEH-2026,2026-03-23,Tyres,12622.05,10.81,432777
MNT-300423,VEH-2013,2026-03-24,Tyres,3344,9.48,525004
MNT-300424,VEH-2017,2026-03-25,Service,4887.98,11.18,780111
MNT-300425,VEH-2046,2026-03-27,Repair,3760.86,10.45,529656
MNT-300426,VEH-2121,2026-03-30,Repair,764.69,20.19,213068
MNT-300427,VEH-2121,2026-03-31,Repair,849.36,10.62,213068
MNT-300428,VEH-2030,2026-04-01,Tyres,8796.65,5.3,674712
MNT-300429,VEH-2119,2026-04-02,Repair,4800.54,11.95,700660
MNT-300430,VEH-2071,2026-04-03,Repair,7098.74,19.48,684571
MNT-300431,VEH-2008,2026-04-04,Repair,16893.76,10.6,668014
MNT-300432,VEH-2073,2026-04-06,Service,3820.21,10.18,504033
MNT-300433,VEH-2023,2026-04-09,Repair,12001.98,10.18,560102
MNT-300434,VEH-2109,2026-04-10,Service,1633.42,1.23,542458
MNT-300435,VEH-2021,2026-04-11,Service,6922.15,7.96,603218
MNT-300436,VEH-2097,2026-04-13,Service,8089.91,3.81,968516
MNT-300437,VEH-2049,2026-04-14,Repair,4600.94,12.54,603326
MNT-300438,VEH-2118,2026-04-15,Repair,3862.79,10.9,715154
MNT-300439,VEH-2046,2026-04-16,Service,3061.78,4.31,531794
MNT-300440,VEH-2013,2026-04-17,Tyres,15111.48,1.46,535865
MNT-300441,VEH-2064,2026-04-18,Repair,12350.05,4.07,649223
MNT-300442,VEH-2053,2026-04-21,Tyres,582.6,9.03,662439
MNT-300443,VEH-2088,2026-04-22,Repair,586.06,11.88,664828
MNT-300444,VEH-2098,2026-04-23,Service,9189.84,14.4,513773
MNT-300445,VEH-2008,2026-04-24,Repair,3883.6,12.72,676860
MNT-300446,VEH-2017,2026-04-25,Repair,16627.52,22.78,793007
MNT-300447,VEH-2005,2026-04-27,Tyres,12681.4,1,635844
MNT-300448,VEH-2079,2026-04-28,Tyres,4748.49,3.87,727018
MNT-300449,VEH-2017,2026-04-29,Service,6669.84,10.68,793007
MNT-300450,VEH-2094,2026-04-30,Service,12628.06,1,813919
MNT-300451,VEH-2019,2026-05-01,Service,3676.76,1,995273
MNT-300452,VEH-2077,2026-05-02,Service,5661.86,1.13,801139
MNT-300453,VEH-2074,2026-05-04,Service,8357.07,5.15,616488
MNT-300454,VEH-2028,2026-05-05,Repair,11828.4,14.6,664617
MNT-300455,VEH-2101,2026-05-06,Repair,11841.58,15.07,432559
MNT-300456,VEH-2057,2026-05-07,Service,9653.69,16.74,644608
MNT-300457,VEH-2097,2026-05-08,Service,10848.09,2.49,978494
MNT-300458,VEH-2089,2026-05-09,Tyres,734.42,6.35,439379
MNT-300459,VEH-2117,2026-05-11,Service,1906.29,7.53,358539
MNT-300460,VEH-2055,2026-05-12,Repair,14129.31,17.14,633688
MNT-300461,VEH-2061,2026-05-13,Repair,16361.67,14.03,452997
MNT-300462,VEH-2041,2026-05-14,Repair,8476.58,12.38,655962
MNT-300463,VEH-2123,2026-05-15,Tyres,692.24,1,445695
MNT-300464,VEH-2067,2026-05-16,Repair,8341.26,10.9,705133
MNT-300465,VEH-2059,2026-05-18,Repair,17298.04,8.29,922509
MNT-300466,VEH-2013,2026-05-19,Repair,21351.27,23,555913
MNT-300467,VEH-2072,2026-05-20,Service,8077.12,5.09,960889
MNT-300468,VEH-2122,2026-05-21,Service,363.31,5.29,169709
MNT-300469,VEH-2110,2026-05-22,Repair,7246.45,10.05,701169
MNT-300470,VEH-2106,2026-05-23,Service,5405.04,5.09,663706
MNT-300471,VEH-2114,2026-05-25,Service,3553.33,1,505525
MNT-300472,VEH-2039,2026-05-26,Repair,9354.86,11.39,787351
MNT-300473,VEH-2035,2026-05-27,Service,2975.74,8.54,484915
MNT-300474,VEH-2045,2026-05-28,Service,1418.23,9.87,655614
MNT-300475,VEH-2124,2026-05-29,Service,505.92,10.21,553966
MNT-300476,VEH-2087,2026-05-30,Service,245.28,7.46,245233
MNT-300477,VEH-2031,2026-06-01,Service,7493.68,3.33,442321
MNT-300478,VEH-2101,2026-06-03,Tyres,15945.88,22.45,446489
MNT-300479,VEH-2026,2026-06-04,Repair,9263.5,11.66,473759
MNT-300480,VEH-2110,2026-06-06,Service,3711.69,1.15,702357
MNT-300481,VEH-2016,2026-06-08,Tyres,16626.81,1,565058
MNT-300482,VEH-2021,2026-06-09,Service,3634.13,8.38,629926
MNT-300483,VEH-2024,2026-06-10,Service,6439.21,1,1039488
MNT-300484,VEH-2099,2026-06-11,Repair,16913.03,10.48,997762
MNT-300485,VEH-2098,2026-06-12,Tyres,10601.74,9.75,531054
MNT-300486,VEH-2047,2026-06-13,Service,1821.61,1,185712
MNT-300487,VEH-2111,2026-06-15,Tyres,6325.66,6.21,251957
MNT-300488,VEH-2075,2026-06-16,Service,1273.45,1,435753
MNT-300489,VEH-2123,2026-06-18,Repair,686.33,12.33,447195
MNT-300490,VEH-2073,2026-06-19,Service,8471,1,528271
MNT-300491,VEH-2113,2026-06-20,Repair,5387.63,12.43,736486
MNT-300492,VEH-2097,2026-06-22,Repair,23371.86,11.57,1002821
MNT-300493,VEH-2111,2026-06-23,Repair,3425.34,16.08,251957
MNT-300494,VEH-2026,2026-06-24,Tyres,7512.34,1,487516
MNT-300495,VEH-2024,2026-06-25,Tyres,15038.34,3.05,1046168
MNT-300496,VEH-2032,2026-06-26,Service,6129.22,1,979116
MNT-300497,VEH-2121,2026-06-27,Repair,628.38,21.66,216059
MNT-300498,VEH-2120,2026-06-29,Repair,2760.55,22.67,684905
MNT-300499,VEH-2002,2026-06-30,Repair,17221.86,18.33,897449
MNT-300500,VEH-2112,2026-07-01,Service,4275.64,1,239737
MNT-300501,VEH-2084,2026-07-03,Tyres,3049.16,12.12,684623
MNT-300502,VEH-2080,2026-07-06,Repair,5149.54,16.54,807032
MNT-300503,VEH-2099,2026-07-07,Repair,13102.02,16.9,1008566
MNT-300504,VEH-2057,2026-07-08,Tyres,19842.16,1,661908
MNT-300505,VEH-2109,2026-07-09,Service,6337.36,1.04,564572
MNT-300506,VEH-2080,2026-07-10,Service,2197.42,1,807369
MNT-300507,VEH-2033,2026-07-11,Repair,5879.64,9.96,755552
MNT-300508,VEH-2101,2026-07-13,Repair,17540.04,10.88,460168
MNT-300509,VEH-2110,2026-07-14,Repair,4521.37,19.37,705744
MNT-300510,VEH-2092,2026-07-15,Tyres,13921.6,1,607107
MNT-300511,VEH-2027,2026-07-16,Repair,13074.43,11.6,1075938
MNT-300512,VEH-2044,2026-07-17,Repair,2937.48,13.13,588306
MNT-300513,VEH-2003,2026-07-20,Repair,13854.87,20.42,808047
MNT-300514,VEH-2025,2026-07-21,Service,5735.04,6.37,559661
MNT-300515,VEH-2112,2026-07-22,Service,2935.75,10.92,241305
MNT-300516,VEH-2009,2026-07-23,Tyres,14726.71,6.44,1017804
MNT-300517,VEH-2096,2026-07-24,Repair,13041.98,1,1022145
MNT-300518,VEH-2097,2026-07-25,Service,13608.29,9.28,1026277
MNT-300519,VEH-2010,2026-07-27,Repair,11935.95,21.88,930494
MNT-300520,VEH-2020,2026-07-28,Service,9922.36,5.52,724451
MNT-300521,VEH-2067,2026-07-29,Service,5923.02,1,727868
MNT-300522,VEH-2077,2026-07-30,Repair,9057.06,7.54,808969
MNT-300523,VEH-2101,2026-07-31,Service,13129.59,8.06,469152
MNT-300524,VEH-2022,2026-08-01,Service,6863.11,4.43,548223
MNT-300525,VEH-2019,2026-08-03,Repair,14587.33,14.34,1041931
MNT-300526,VEH-2109,2026-08-04,Repair,11959.25,29.03,571776
MNT-300527,VEH-2111,2026-08-05,Tyres,5624.2,12.65,255402
MNT-300528,VEH-2009,2026-08-06,Repair,4262.17,19.89,1024032
MNT-300529,VEH-2067,2026-08-08,Service,5472.57,1.89,729677
MNT-300530,VEH-2036,2026-08-10,Tyres,3510.6,1.18,229059
MNT-300531,VEH-2058,2026-08-11,Repair,17007.89,16.99,431712
MNT-300532,VEH-2061,2026-08-12,Service,9146.91,20.37,481276
MNT-300533,VEH-2099,2026-08-13,Repair,14002.69,7.32,1024593
MNT-300534,VEH-2018,2026-08-14,Service,9015.94,6.36,767132
MNT-300535,VEH-2029,2026-08-17,Repair,7767.01,2.82,949035
MNT-300536,VEH-2090,2026-08-18,Tyres,15818.64,1,1001590
MNT-300537,VEH-2055,2026-08-19,Repair,8002.92,19.61,664713
MNT-300538,VEH-2038,2026-08-20,Service,2404.66,1,556456
MNT-300539,VEH-2089,2026-08-21,Repair,511.05,16.4,441857
MNT-300540,VEH-2119,2026-08-22,Service,1398.72,1,709512
MNT-300541,VEH-2029,2026-08-25,Repair,11263.28,15.7,953340
MNT-300542,VEH-2112,2026-08-27,Service,3782.09,2.87,243177
MNT-300543,VEH-2095,2026-08-28,Service,9512.84,3.56,790264
MNT-300544,VEH-2031,2026-08-29,Service,5591,1,492041
MNT-300545,VEH-2072,2026-08-31,Repair,7690.32,11.98,1002387
